slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
eplefpa-des-landes,EPLEFPA des Landes,Oeyreluy,Carne,,"Domaine de Laluque - 2915 Route des Barthes, 40180 Oeyreluy",,,,,http://tnla-2014-achacunsafacette.blogspot.fr/,,,https://www.google.com/maps/search/?api=1&query=43.658811%2C-1.068559&query_place_id=ChIJh62uMo6vVg0RETiaDd6lT5I,43.658811,-1.068559,,pendiente,no comprobado,,,750,,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
daniel-vergnes,Daniel Vergnes,Pimbo,Vino,,"410 Rue de la Bastide Minvielle, 40320 Pimbo",,,,,https://www.barene.fr,,,https://www.google.com/maps/search/?api=1&query=43.574668%2C-0.375154&query_place_id=ChIJAWsSsqBuVg0RpalwKDbpI8o,43.574668,-0.375154,,pendiente,no comprobado,,,456,,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
ferme-danhil,Ferme Danhil,Sort-en-Chalosse,Fruta y verdura,Fruits et légumes biologiques,"260 Chem. de Berdoyes, 40180 Sort-en-Chalosse",An organic farm in Sort-en-Chalosse producing fruits et légumes biologiques under the Ferme Danhil identity.,,+33637344139,,https://fermedanhil.com/,,,https://www.google.com/maps/search/?api=1&query=43.7002665%2C-0.9061739&query_place_id=ChIJ_Uc_LsGjVg0R4ZvW2SX2RKo,43.7002665,-0.9061739,,,sí,ecommerce,,791,en,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
grand-castaingt,Grand Castaingt,Yzosse,Otros,,"Lieu Dit Grand Castaingt 437 Route de Candresse, 40180 Yzosse",,,,,https://plants-maraichers-yzosse-40.fr,,,https://www.google.com/maps/search/?api=1&query=43.712187%2C-1.009313&query_place_id=ChIJy5ckx52mVg0RlXOFUWbU-eI,43.712187,-1.009313,,pendiente,no comprobado,,,1144,,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
camdelan-la-ferme-fantastique,Camdelan — La Ferme Fantastique,Saint-Julien-en-Born,Fruta y verdura,Fruits et légumes,"Chemin de Lio, 40170 Saint-Julien-en-Born","An organic producer in Saint-Julien-en-Born, offering Fruits et légumes under the Camdelan — La Ferme Fantastique identity.",,+33768677266,contact@camdelan.com,https://www.camdelan.com,https://facebook.com/fermedecontis,https://instagram.com/camdelan,https://www.google.com/maps/search/?api=1&query=44.072812%2C-1.20066798&query_place_id=ChIJGzi_-bD0Uw0Rl8OgXyxpU-s,44.072812,-1.20066798,,,no comprobado,,,235,en,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
ferme-de-peyrard,Ferme de Peyrard,Onard,Fruta y verdura,Fruits et légumes,"425 RTE DE PEYRARD, 40380 Onard","An organic producer in Onard, offering Fruits et légumes under the Ferme de Peyrard identity.",,,mgigomas@live.fr,https://www.fermedepeyrard.fr,,,https://www.google.com/maps/search/?api=1&query=43.772757%2C-0.82681999&query_place_id=ChIJs-XKeeGdVg0R3Tz9YgZJTF4,43.772757,-0.82681999,,,no comprobado,,,855,en,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
galinette,Galinette,Bastennes,Pan y cereal,Pain et gourmandises,"976 route des pyrénées, 40360 Bastennes","An organic producer in Bastennes, offering Pain et gourmandises under the Galinette identity.",,+33626253053,,,,https://www.instagram.com/galinettepainsetgourmandises/,https://www.google.com/maps/search/?api=1&query=43.651906%2C-0.776950&query_place_id=ChIJW6N__uCbVg0RF1XWSDWa--w,43.651906,-0.776950,,,no comprobado,,,1127,en,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
brasserie-cath,Brasserie Cath,Labenne,Destilados y licores,bières artisanales,7 ALLEE ARTIGUENAVE 40530 LABENNE,"Brasserie Cath is an artisan distillery in Labenne, producing bières artisanales.",,,,https://www.brasserie-cath.com/,,,https://www.google.com/maps/search/?api=1&query=43.615812%2C-1.395822&query_place_id=ChIJH3ddJxlbUQ0RDRcn89dgHr8,43.615812,-1.395822,,,sí,ecommerce,,126,en,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
ferme-des-12-vaches,La Ferme des 12 Vaches,Bonnegarde,Lácteos y quesos,"Lait cru, fromages lactiques, beurre, crème, bleu fermier et tommes de Chalosse","1758 Chemin de Chrestia, 40330 Bonnegarde",Marie Costedoat raises a small organic Jersey herd on grass and hay and transforms all its milk on the farm into cheeses and fresh dairy products.,,+33637961521,mariecostedoat40330@gmail.com,https://epicentrepaysan.fr/les-apporteurs/la-ferme-des-12-vaches/,https://www.facebook.com/lafermedes12vaches/,,https://www.google.com/maps/search/?api=1&query=La%20Ferme%20des%2012%20Vaches%2C%201758%20Chemin%20de%20Chrestia%2C%2040330%20Bonnegarde&query_place_id=ChIJJae_cGCPVg0RqWvzoNZoa6c,43.574058,-0.701763,,,sí,marketplace,Carne,1305,en,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
ferme-d-audou,La Ferme d'Audou,Labastide-d'Armagnac,Lácteos y quesos,"Fromages lactiques frais et affinés, faisselle, fromage blanc, tomme, bleu et yaourts de chèvre","Le Pébéré, 4176 Route de Lannemaignan, 40240 Labastide-d'Armagnac",Audrey Douville raises 80 Pyrenean goats and transforms their seasonal milk into a wide range of cheeses and fresh dairy products.,Ven et sam 14:00–17:00,+33682336566,,https://www.tourisme-landesdarmagnac.fr/savourer/producteurs/5364416-la-ferme-daudou,,,https://www.google.com/maps/search/?api=1&query=La%20Ferme%20d%27Audou%2C%20Le%20P%C3%A9b%C3%A9r%C3%A9%2C%204176%20Route%20de%20Lannemaignan%2C%2040240%20Labastide-d%27Armagnac&query_place_id=ChIJe7WG-YTlVQ0R45_LgoGYq1M,43.942132,-0.195648,,,no comprobado,,Carne,1287,en,,,,,,fr,nouvelle-aquitaine,landes,,,,,,
