slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
mandon,Mandon,Massignac,Carne,,"Les Gros Yeux, 16310 Massignac",,,,,http://www.cyrille-mandon.fr/page/23/la-boutique.html,,,https://www.google.com/maps/search/?api=1&query=45.7760778%2C0.6601081&query_place_id=ChIJE7PPz8_3_kcRRIJjPI2Mum8,45.7760778,0.6601081,,pendiente,no comprobado,,,1569,,,,,,
l-arbre,L Arbre,Rouzède,Carne,,"11 Rue de l'Arbre, 16220 Rouzède",,,,,https://www.fermedelarbre.fr/,,,https://www.google.com/maps/search/?api=1&query=45.738515%2C0.541515&query_place_id=ChIJoT8Dw0xX_kcR1yQxhpuyE7s,45.738515,0.541515,,pendiente,no comprobado,,,1209,,,,,,
la-chevalerie,La Chevalerie,Saint-Amant-de-Nouère,Vino,,"La Chevalerie264 Route de la Vigerie, 16170 Saint-Amant-de-Nouère",,,,,https://www.cognac-pineau-pelletant.com,,,https://www.google.com/maps/search/?api=1&query=45.751687%2C-0.014688&query_place_id=ChIJMYRvr7SCAEgRRwOXs1KIaxY,45.751687,-0.014688,,pendiente,no comprobado,,,1249,,,,,,
les-jardins-vivants,Les Jardins Vivants,Saint-Groux,Fruta y verdura,Fruits et légumes,"8 RUE DE LA FONTAINE, 16230 Saint-Groux","An organic producer in Saint-Groux, offering Fruits et légumes under the Les Jardins Vivants identity.",,+33649263346,remy-16@hotmail.fr,,https://www.facebook.com/LesJardinsVivants,,https://www.google.com/maps/search/?api=1&query=45.889065%2C0.153954&query_place_id=ChIJiYgQ_js9_kcRSGhcsGx6gGo,45.889065,0.153954,,,no comprobado,,,1514,en,,,,,
brasserie-jukebox,Brasserie Jukebox,Cognac,Cerveza,bières artisanales,48 RUE ARMAND SIMARD 16100 COGNAC,"Brasserie Jukebox is a craft brewery in Cognac, producing bières artisanales.",,,contact@brasseriejukebox.com,https://brasseriejukebox.com/,,,https://www.google.com/maps/search/?api=1&query=45.686546627%2C-0.326182189&query_place_id=ChIJr1EBmfrzAEgRk_1LBXKJLr8,45.686546627,-0.326182189,,,sí,ecommerce,,162,en,,,,,
gaec-de-l-ouche-a-vigne,GAEC de l'Ouche à Vigné,Juillé,Lácteos y quesos,Fromages de chèvre fermiers frais et affinés,"12 Route de la Garenne, 16230 Juillé","A mixed farm in Juillé that raises dairy goats and makes fresh and matured farmhouse cheeses.","Lun à ven 08:00–12:00 et 17:00–18:30; sam 08:00–10:00 et 17:00–18:30",+33545390774,gaecdeloucheavigne@orange.fr,,https://www.facebook.com/gaecdeloucheavigne/,,https://www.google.com/maps/search/?api=1&query=GAEC%20de%20l%27Ouche%20%C3%A0%20Vign%C3%A9%2C%2012%20Route%20de%20la%20Garenne%2C%2016230%20Juill%C3%A9&query_place_id=ChIJeeoPCRUY_kcRhO5BGxXMy-g,45.921982,0.136364,,,no comprobado,,,1083,en,,,,,
ferme-de-javernac,Ferme de Javernac,Lésignac-Durand,Lácteos y quesos,"Tomme de vache, fromages frais, fromage blanc et yaourts","1 Route de Javernac, 16310 Lésignac-Durand","The Van Der Velden family raises dairy cows at Javernac and transforms their raw milk into farmhouse cheeses and yogurts.","Mar à sam 10:30–12:00",+33545615040,gaecdelamoulde@fermedejavernac.fr,https://www.chateaudelaredortiere.com/,,,https://www.google.com/maps/search/?api=1&query=Ferme%20de%20Javernac%2C%201%20Route%20de%20Javernac%2C%2016310%20L%C3%A9signac-Durand&query_place_id=ChIJIWtfrUb2_kcRsfe7TjLkN5Y,45.802729,0.642535,,,no comprobado,,,800,en,,,,,
gaec-puy-de-beau,GAEC Puy de Beau,Nieuil,Lácteos y quesos,"Fromages de chèvre et desserts au lait de chèvre","465 Chemin de Chez Coucaud, 16270 Nieuil","A family farm in Nieuil that raises dairy goats and makes a varied range of farmhouse goat cheeses and milk desserts.","Tous les jours 16:00–19:00",+33699885927,lesfromagesdupuydebeau@gmail.com,,https://www.facebook.com/lesfromagesdupuydebeau,,,45.89599,0.522473,,,no comprobado,,,1120,en,,,,,
gaec-de-l-argentor,GAEC de l'Argentor,Poursac,Lácteos y quesos,"Fromages de vache, tomme, beurre, yaourts et veau","3 Route des Manibeaux, 16700 Poursac","A family dairy farm in Poursac that transforms its cow's milk into cheeses, butter and yogurts and also offers farm-raised veal.","Lun à ven 07:00–11:30 et 16:30–18:00; sam 16:30–18:00",+33679282997,gaecdelargentor@wanadoo.fr,,,,https://www.google.com/maps/search/?api=1&query=GAEC%20de%20l%27Argentor%2C%203%20Route%20des%20Manibeaux%2C%2016700%20Poursac&query_place_id=ChIJfVIoL3YV_kcRQlHyULNS7A0,45.959063,0.262274,,,no comprobado,,Carne,1081,en,,,,,
les-chevres-du-masbiennassis,Les Chèvres du Masbiennassis,Saulgond,Lácteos y quesos,"Crottins, bûches, pyramides, tomme et bouchons apéritifs","Le Masbiennassis, 16420 Saulgond","A goat farm in Saulgond making fresh, matured and seasoned farmhouse cheeses from its own herd's milk.","Jeu à sam 16:00–18:00",+33681918724,lydiemarechal16@gmail.com,,https://www.facebook.com/profile.php?id=100048001094096,,,45.944489,0.777527,,,no comprobado,,,1489,en,,,,,
