slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
recettes-d-armor,Recettes d'Armor,Caudan,Conservas,"Légumes bio, soupes et conserves","819 Rte de Caudan, 56850 Caudan","An organic farm and food workshop in Caudan producing légumes bio, soupes et conserves under the Recettes d'Armor identity.",,,esatarmorargoat@adapei56.net,https://www.esatea-adapei56.com/content/8-esat-de-l-armor-a-l-argoat-a-caudan?utm_source=google&utm_medium=organic&utm_campaign=gmb,,,https://www.google.com/maps/search/?api=1&query=Recettes%20d%27Armor%2C%20819%20Rte%20de%20Caudan%2C%2056850%20Caudan&query_place_id=ChIJ7bTrE7VeEEgREwaqn4swgMQ,47.7882097,-3.3529922,,verificado,no comprobado,,
bio-cochon,Bio Cochon,Mauron,Carne,Viande de porc,"Le Bouée, 56430 Mauron",An organic farm in Mauron producing viande de porc under the Bio Cochon identity.,,+33607286146,sylvain.brient@orange.fr,https://biocochon.com/,https://www.facebook.com/profile.php?id=100081527790813,https://www.instagram.com/earl_bio_cochon/,https://www.google.com/maps/search/?api=1&query=48.0770919%2C-2.3026761&query_place_id=ChIJ0SgaNHpNDkgRNtkZyhbzBkc,48.0770919,-2.3026761,,verificado,no comprobado,,
atelier-des-pains,Atelier des Pains,Pluméliau-Bieuzy,Pan y cereal,Pain et céréales,"721 KERNINO, 56930 Pluméliau-Bieuzy","An organic producer in Pluméliau-Bieuzy, offering Pain et céréales under the Atelier des Pains identity.",,,,,https://www.facebook.com/AtelierDesPains56,,,47.951998,-3.02358098,,verificado,no comprobado,,
legumes-bio-des-dunes,Légumes Bio des Dunes,Plouhinec,Fruta y verdura,Fruits et légumes,"15 LD KERBASCUIN, 56680 PLOUHINEC","An organic producer in Plouhinec, offering Fruits et légumes under the Légumes Bio des Dunes identity.",,+33680377158,ronan.lamourec@hotmail.fr,https://legumesbiodesdunes.sumupstore.com/,https://www.facebook.com/legumesdesdunes,https://www.instagram.com/panierdesdunes/?ref=xav_igxfb_comet_ig_bookmark_mega_menu_launch#,https://www.google.com/maps/search/?api=1&query=47.669171%2C-3.22546&query_place_id=ChIJF12cR4NoEEgR1968nVbtSpA,47.669171,-3.22546,,verificado,no comprobado,,
distillerie-bleiz-mor,Distillerie Bleiz-Mor,Étel,Destilados y licores,"whisky, gin, vodka et anis",4 RUE VICTOR HUGO 56410 ETEL,"Distillerie Bleiz-Mor is an artisan distillery in Étel, producing whisky, gin, vodka et anis.",,,,https://www.distilleriebleizmor.fr/,,,https://www.google.com/maps/search/?api=1&query=47.658126%2C-3.19398&query_place_id=ChIJl7_MY2tpEEgRLezSvLWe-zg,47.658126,-3.19398,,verificado,sí,ecommerce,
l-chanvre,L'Chanvre,Péaule,Aceite,huile et produits alimentaires au chanvre,5717 PONT SAILLANT 56130 PEAULE,"L'Chanvre is an artisan oil producer in Péaule, producing huile et produits alimentaires au chanvre.",,+33847298145,contact@lchanvre.com,https://www.lchanvre.com/,,,,47.5845638241967,-2.36563903950471,,verificado,no comprobado,,
brasserie-lancelot,Brasserie Lancelot,Val d'Oust,Cerveza,,7 La Mine,Brewery producing beer at its Val d'Oust unit.,,,lgeorgel-meyer@brasserie-lancelot.com,https://brasserie-lancelot.bzh/,,,,47.869400,-2.425000,,parcial,no comprobado,,
brasserie-la-dilettante,Brasserie La Dilettante,Saint-Nolff,Cerveza,,,Brewery producing beer at its Saint-Nolff unit.,,+98389649750,,https://brasserieladilettante.com/fr-eu,,https://www.instagram.com/brasserieladilettante,,47.7066,-2.6681,,parcial,no comprobado,,
maison-lucas-quiberon,Maison Lucas,Quiberon,Pescado,"Salmon, Smoked fish","19 quai des Saveurs, 56170 Quiberon",Maison Lucas smokes and prepares fish at its Quiberon operation.,,+33297505950,contact@maisonlucas.fr,https://www.maisonlucas.com/,,,,47.484800,-3.109000,,verificado,sí,ecommerce,
la-saumonerie-du-loch-crach,La Saumonerie du Loch,Crach,Pescado,"Salmon, Smoked fish",,La Saumonerie du Loch smokes and prepares fish at its Crach operation.,,,,https://www.saumonfume.com/,,,,47.630700,-2.994900,,verificado,sí,ecommerce,
fumage-artisanal-darzon-arzon,Fumage Artisanal d'Arzon,Arzon,Pescado,"Salmon, Smoked fish",,Fumage Artisanal d'Arzon smokes and prepares fish at its Arzon operation.,,,,https://www.fumage-arzon.fr/,,,,47.549900,-2.903100,,verificado,sí,ecommerce,
fumaisons-le-gros-lorient,Fumaisons Le Gros,Lorient,Pescado,"Salmon, Smoked fish",,Fumaisons Le Gros smokes and prepares fish at its Lorient operation.,,+33683828541,contact@fumaisonslegros.com,https://www.fumaisonslegros.com/,,,,47.749400,-3.379900,,verificado,no comprobado,,
groix-nature-groix,Groix & Nature,Groix,Pescado,Fish preserves,,Groix & Nature produces fish preserves at its Groix operation.,,+33297868137,,https://groix-et-nature.com/fr/,,,,47.636900,-3.465400,,verificado,sí,ecommerce,
maison-quintin-saint-philibert,Maison Quintin,Saint-Philibert,Pescado,Oysters,,Maison Quintin raises oysters at its Saint-Philibert operation.,,+33297550194,hello@maison-quintin.com,https://maison-quintin.com/,,,,47.586155,-2.999854,,verificado,sí,ecommerce,
huitre-la-toulverne-baden,Huître La Toulverne,Baden,Pescado,Oysters,"Pointe de Toulvern, 56870 Baden",Huître La Toulverne raises oysters at its Baden operation.,,+33604596828,,https://huitrelatoulverne.fr/,,,,47.606100,-2.903600,,verificado,no comprobado,,
