slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
asso-responsable-du-lycee-st-ilan-florilan,Asso Responsable du Lycee St Ilan -Florilan,Langueux,Otros,,"52 Rue Saint Ilan, 22360 Langueux",,,,,https://hortilan.com,,,https://www.google.com/maps/search/?api=1&query=48.5077265%2C-2.7046275,48.5077265,-2.7046275,,pendiente,no comprobado,,
la-moinerie,La Moinerie,Les Champs-Géraux,Carne,,"126 la Moinerie, 22630 Les Champs-Géraux",,,,,http://www.lamoinerie.com/,,,https://www.google.com/maps/search/?api=1&query=48.427722%2C-1.992635&query_place_id=ChIJgzz1l5uLDkgReoU0haKUk2w,48.427722,-1.992635,,pendiente,no comprobado,,
ferme-des-aulnays,Ferme des Aulnays,Évran,Lácteos y quesos,"Fromages, lait et viande de porc","La Touche, 22630 Évran","An organic farm in Évran producing fromages, lait et viande de porc under the Ferme des Aulnays identity.",,,,https://www.fermedesaulnays.fr/,,,https://www.google.com/maps/search/?api=1&query=48.4016382%2C-2.0009526&query_place_id=ChIJWxfKfRWLDkgRSa9reJV-P4A,48.4016382,-2.0009526,,verificado,no comprobado,,
la-bergeronnette,La Bergeronnette,Lanvellec,Helados,Glaces paysannes et viande bovine,"1 KERVEROT, 22420 Lanvellec","An organic producer in Lanvellec, offering Glaces paysannes et viande bovine under the La Bergeronnette identity.",,+33630683089,labergeronnette@lavache.com,https://labergeronnette.bzh,,,https://www.google.com/maps/search/?api=1&query=48.608626%2C-3.53655999&query_place_id=ChIJf3mSvLN_EUgRZ-9ZfUR6wfw,48.608626,-3.53655999,,verificado,no comprobado,,
brasserie-la-riposte,Brasserie La Riposte,Châtelaudren-Plouagat,Cerveza,bières artisanales,27 PL DE LA REPUBLIQUE 22170 CHATELAUDREN-PLOUAGAT,"Brasserie La Riposte is a craft brewery in Châtelaudren-Plouagat, producing bières artisanales.",,,,https://brasserielariposte.bzh/,,,https://www.google.com/maps/search/?api=1&query=48.542193%2C-2.969784&query_place_id=ChIJY5MqGkfxEUgRxe54Y_vgb-w,48.542193,-2.969784,,verificado,no comprobado,,
brasserie-uncle,Brasserie Uncle,Binic-Étables-sur-Mer,Cerveza,bières artisanales,10 RUE DE L'EUROPE 22680 BINIC-ETABLES-SUR-MER,"Brasserie Uncle is a craft brewery in Binic-Étables-sur-Mer, producing bières artisanales.",,+33254936591,info@brasserie-uncle.com,https://www.brasserie-uncle.com/,,,https://www.google.com/maps/search/?api=1&query=48.642231%2C-2.835414&query_place_id=ChIJY6D71VL-EUgRnKQN88OvK5A,48.642231,-2.835414,,verificado,sí,ecommerce,
a-la-ferme-moulin-tizon,À la ferme Moulin Tizon,Penguily,Lácteos y quesos,"Yaourts, skyr, beurre, fromage frais, lait ribot et riz au lait","Le Moulin Tizon, 22510 Penguily","A family farm raising Normandy cows and transforming their milk into a broad range of fresh dairy products and desserts sold at its farm shop.","Mer et ven 15:00–19:00; sam 09:00–12:30",+33662843368,lemoulintizon@coopchezvous.com,https://www.alafermemoulintizon.fr/,https://www.facebook.com/lafermemoulintizon,https://www.instagram.com/alafermemoulintizon/,https://www.google.com/maps/search/?api=1&query=48.362223015702%2C-2.4850344657898,48.362223015702,-2.4850344657898,,verificado,sí,ecommerce,
chevrerie-de-kerdibique,Chèvrerie de Kerdibique,Pommerit-le-Vicomte,Lácteos y quesos,"Crottins, bûches, cabécous, tomme, camembert et faisselle de chèvre","4 Kerdibeuc'h, 22200 Pommerit-le-Vicomte","A small organic farm raising Alpine and Poitevine goats and transforming all of its raw milk on site into fresh and aged goat cheeses.","Ven 18:00–19:00; sam 10:30–12:30",+33668636316,chevrerie.kerdibique@hotmail.com,,https://www.facebook.com/profile.php?id=100063759723676,,https://www.google.com/maps/search/?api=1&query=48.603602203257%2C-3.0991315841675,48.603602203257,-3.0991315841675,,verificado,no comprobado,,
chevrerie-de-saint-adrien,Chèvrerie de Saint-Adrien,Saint-Adrien,Lácteos y quesos,"Crottins, pavés, pyramides, tomme, faisselle et tartinades de chèvre","2 Queleneyer, 22390 Saint-Adrien","Karine Jégou runs an organic Poitevine goat farm and transforms all of its milk on site into fresh and aged cheeses and savory dairy preparations.","Mar–déc sam 10:00–12:00 et 15:00–18:00",+33674661234,chevreriedesaintadrien@yahoo.com,,https://www.facebook.com/people/Ch%C3%A8vrerie-de-Saint-Adrien/100057485264668/,,https://www.google.com/maps/search/?api=1&query=48.496337351897%2C-3.1238951679552,48.496337351897,-3.1238951679552,,verificado,no comprobado,,
ferme-de-la-blandirie,La Ferme de la Blandirie,Saint-Donan,Lácteos y quesos,"Tomme affinée, P'tit Donanais, fromages frais, lait pasteurisé et lait ribot","La Blandirie, 22800 Saint-Donan","A long-established dairy farm transforming part of its cow's milk into aged and fresh farmhouse cheeses, pasteurized milk and buttermilk for local retailers.",,+33296739470,fermedelablandirie@orange.fr,,,,https://www.google.com/maps/search/?api=1&query=48.447877550537115%2C-2.9224061965942383,48.447877550537115,-2.9224061965942383,,parcial,no comprobado,,
