slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
labeerinto,Labeerinto,Modena,Cerveza,birra artigianale,"Birrificio Labeerinto Taproom, 68, Via Degli Scarlatti, Fossalta, Crocetta-San Lazzaro-Modena Est, Modena, Emilia-Romagna, 41122",Labeerinto is an independent brewery in Modena producing its own craft beer.,,+390598751482,info@labeerinto.it,https://www.labeerinto.it,,,https://www.google.com/maps/search/?api=1&query=Labeerinto%2C%20Birrificio%20Labeerinto%20Taproom%2C%2068%2C%20Via%20Degli%20Scarlatti%2C%20Fossalta%2C%20Crocetta-San%20Lazzaro-Modena%20Est%2C%20Modena%2C%20Emilia-Romagna%2C%2041122&query_place_id=ChIJwwu1Wrvof0cRGUx4OmURcEg,44.6315721,10.9655009,/productores/it/emilia-romagna/modena/labeerinto.webp,verificado,no comprobado,,,2286,en,,,,,
acetaia-aula-mater,Acetaia Aula Mater,Medolla,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,"Via Bosco, 39",Acetaia Aula Mater produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Medolla.,,+393287228936,gabrielli.marc@gmail.com,https://aulamater.it/,,,,44.8207384,11.0877474,/productores/it/emilia-romagna/modena/acetaia-aula-mater.webp,verificado,no comprobado,,,21,en,,,,,
acetaia-baldazzini,Acetaia Baldazzini,Vignola,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,"Via Carlo Goldoni, 160 int.1",Acetaia Baldazzini produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Vignola.,,+393355879597,sary9373@gmail.com,https://acetaiabaldazzini.com/,,,,44.4994277,11.0183353,,verificado,no comprobado,,,22,en,,,,,
acetaia-bellei,Acetaia Bellei,Bomporto,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,Via Carlo Testa 3/B,Acetaia Bellei produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Bomporto.,,+393209460477,info@bellei.it,https://www.bellei.it/,,,,44.7439498,11.0325105,/productores/it/emilia-romagna/modena/acetaia-bellei.webp,verificado,no comprobado,,,23,en,,,,,
acetaia-del-cristo,Acetaia del Cristo,San Prospero,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,"Via Badia, 41/A",Acetaia del Cristo produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in San Prospero.,,+39059907425,info@acetaiadelcristo.it,https://acetaiadelcristo.it/?v=87922b7db4e7,,,,44.7651186,11.0083788,/productores/it/emilia-romagna/modena/acetaia-del-cristo.webp,verificado,sí,ecommerce,,26,en,,,,,
acetaia-della-vigona,Acetaia della Vigona,Mirandola,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,Via Vigona n. 4/6,Acetaia della Vigona produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Mirandola.,,+393332275137,,https://www.acetaiadellavigona.com/,,,https://www.google.com/maps/search/?api=1&query=44.9031621%2C11.0693242&query_place_id=ChIJcUxh2FqXf0cRwKZI5doGMG4,44.9031621,11.0693242,/productores/it/emilia-romagna/modena/acetaia-della-vigona.webp,verificado,no comprobado,,,28,en,,,,,
acetaia-di-giorgio,Acetaia Di Giorgio,Modena,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,"Via S.Cabassi, 67",Acetaia Di Giorgio produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Modena.,,+39059333015,info@acetaiadigiorgio.it,https://www.acetaiadigiorgio.it/,,,,44.6554376,10.9039563,,verificado,sí,ecommerce,,29,en,,,,,
acetaia-giusti,Acetaia Giusti,Modena,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,"Strada Quattro Ville, 155",Acetaia Giusti produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Modena.,,+393929258119,emanuela.fontanella@giusti.it,https://giusti.com/,,,,44.6926685,10.9024126,/productores/it/emilia-romagna/modena/acetaia-giusti.webp,verificado,sí,ecommerce,,33,en,,,,,
la-ca-dal-non,La Cà dal Non,Vignola,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,"Via Ghiaurov, 50",La Cà dal Non produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Vignola.,,+39059761671,cadalnon@cadalnon.com,https://cadalnon.com/,,,,44.4932594,11.0134113,/productores/it/emilia-romagna/modena/la-ca-dal-non.webp,verificado,sí,ecommerce,,2205,en,,,,,
acetaia-malagoli,Acetaia Malagoli,Castelfranco Emilia,Condimentos,Aceto Balsamico Tradizionale di Modena DOP,"Via Celeste,9",Acetaia Malagoli produces and ages Aceto Balsamico Tradizionale di Modena DOP at its productive unit in Castelfranco Emilia.,,+393382640322,info@acetaiamalagoli.com,https://acetaiamalagoli.com/,,,,44.568118,11.0697629,/productores/it/emilia-romagna/modena/acetaia-malagoli.webp,verificado,sí,ecommerce,,35,en,,,,,
