slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion
bodegas-monje-el-sauzal,Bodegas Monje,El Sauzal,Vino,"Vino tinto tradicional Monje Común, Listán Negro de viñas viejas","Camino de la Decanilla, 84, 38360 El Sauzal, Tenerife","Productor local artesanal de vino tinto tradicional monje común, listán negro de viñas viejas en El Sauzal, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Dom 10:00–18:00,922 57 30 22,monje@bodegasmonje.com,https://bodegasmonje.com,https://www.facebook.com/bodegasmonje/,https://www.instagram.com/bodegasmonje/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Monje%2C%20Camino%20de%20la%20Decanilla%2C%2084%2C%2038360%20El%20Sauzal%2C%20Tenerife,28.4657000,-16.4455000,,pendiente
bodega-tajinaste-la-orotava,Bodega Tajinaste,La Orotava,Vino,"Vino blanco seco Tajinaste, Tinto vendimia seleccionada","Camino la Perdoma, 56, 38315 La Orotava, Tenerife","Productor local artesanal de vino blanco seco tajinaste, tinto vendimia seleccionada en La Orotava, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Vie 08:30–16:30,922 33 21 00,info@tajinaste.com,https://tajinaste.com,https://www.facebook.com/bodegatajinaste/,https://www.instagram.com/bodegatajinaste/,https://www.google.com/maps/search/?api=1&query=Bodega%20Tajinaste%2C%20Camino%20la%20Perdoma%2C%2056%2C%2038315%20La%20Orotava%2C%20Tenerife,28.3832000,-16.5314000,,pendiente
bodegas-suertes-del-marques-la-orotava,Bodegas Suertes del Marqués,La Orotava,Vino,"Vinos de parcela 7 Fuentes, El Esquilón de viticultura heroica","Calle Lomo Solís, 26, 38315 La Orotava, Tenerife","Productor local artesanal de vinos de parcela 7 fuentes, el esquilón de viticultura heroica en La Orotava, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Visitas concertadas,922 30 45 67,info@suertesdelmarques.com,https://www.suertesdelmarques.com,https://www.facebook.com/suertesdelmarques/,https://www.instagram.com/suertesdelmarques/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Suertes%20del%20Marqu%C3%A9s%2C%20Calle%20Lomo%20Sol%C3%ADs%2C%2026%2C%2038315%20La%20Orotava%2C%20Tenerife,28.3867000,-16.5314000,,pendiente
bodegas-vinatigo-la-guancha,Bodegas Viñátigo,La Guancha,Vino,"Vino blanco de uva Gual, Tinto varietal de Baboso Negro","Ctra. General la Guancha, 34, 38440 La Guancha, Tenerife","Productor local artesanal de vino blanco de uva gual, tinto varietal de baboso negro en La Guancha, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Vie 09:00–17:00,922 82 87 68,vinatigo@vinatigo.com,https://www.vinatigo.com,https://www.facebook.com/bodegasvinatigo/,https://www.instagram.com/bodegasvinatigo/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Vi%C3%B1%C3%A1tigo%2C%20Ctra.%20General%20la%20Guancha%2C%2034%2C%2038440%20La%20Guancha%2C%20Tenerife,28.3662000,-16.6572000,,pendiente
bodega-envinate-santiago-del-teide,Bodega Envínate,Santiago del Teide,Vino,"Vino tinto Benje de parcelas volcánicas altas, Albillo Criollo volcánico","Lugar Las Manchas, 4, 38690 Santiago del Teide, Tenerife","Productor local artesanal de vino tinto benje de parcelas volcánicas altas, albillo criollo volcánico en Santiago del Teide, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Visitas previa concertación,630 12 34 56,envinate.vinos@gmail.com,http://envinate.es,,https://www.instagram.com/envinate.vinos/,https://www.google.com/maps/search/?api=1&query=Bodega%20Env%C3%ADnate%2C%20Lugar%20Las%20Manchas%2C%204%2C%2038690%20Santiago%20del%20Teide%2C%20Tenerife,28.2904000,-16.8229000,,pendiente
bodega-el-sitio-tacoronte,Bodega El Sitio,Tacoronte,Vino,"Vino blanco aromático Malvasía Volcánica El Sitio, Tinto Vijariego Negro","Camino el Sitio, 12, 38350 Tacoronte, Tenerife","Productor local artesanal de vino blanco aromático malvasía volcánica el sitio, tinto vijariego negro en Tacoronte, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Sab 10:00–16:00,922 57 14 12,info@bodegaelsitio.com,,https://www.facebook.com/bodegaelsitio/,https://www.instagram.com/bodegaelsitio/,https://www.google.com/maps/search/?api=1&query=Bodega%20El%20Sitio%2C%20Camino%20el%20Sitio%2C%2012%2C%2038350%20Tacoronte%2C%20Tenerife,28.4725000,-16.4201000,,pendiente
bodega-el-lomo-tegueste,Bodega El Lomo,Tegueste,Vino,"Vino tinto El Lomo maceración carbónica, Blanco seco Listán Blanco","Calle el Lomo, 18, 38280 Tegueste, Tenerife","Productor local artesanal de vino tinto el lomo maceración carbónica, blanco seco listán blanco en Tegueste, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Vie 08:00–15:00,922 54 11 05,info@bodegasellomo.com,,https://www.facebook.com/bodegasellomo/,https://www.instagram.com/bodegasellomo/,https://www.google.com/maps/search/?api=1&query=Bodega%20El%20Lomo%2C%20Calle%20el%20Lomo%2C%2018%2C%2038280%20Tegueste%2C%20Tenerife,28.4821000,-16.3434000,,pendiente
bodegas-reveron-vilaflor,Bodegas Reverón,Vilaflor,Vino,"Vino ecológico tinto barrica Reverón, Blanco afrutado de altura","Ctra. General de Vilaflor, Km 12, 38615 Vilaflor, Tenerife","Productor local artesanal de vino ecológico tinto barrica reverón, blanco afrutado de altura en Vilaflor, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Dom 10:00–18:00,922 70 90 28,info@bodegasreveron.com,,https://www.facebook.com/bodegasreveron/,https://www.instagram.com/bodegasreveron/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Rever%C3%B3n%2C%20Ctra.%20General%20de%20Vilaflor%2C%20Km%2012%2C%2038615%20Vilaflor%2C%20Tenerife,28.1517000,-16.6445000,,pendiente
bodega-frontos-granadilla-de-abona,Bodega Frontos,Granadilla de Abona,Vino,"Vino blanco Frontos de parcela alta, Tinto ecológico de viñedos volcánicos","Lomo Grande, 1, Los Blanquitos, 38600 Granadilla de Abona, Tenerife","Productor local artesanal de vino blanco frontos de parcela alta, tinto ecológico de viñedos volcánicos en Granadilla de Abona, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Visitas previa concertación,922 777 253,bodega@frontos.es,https://frontos.es/,https://www.facebook.com/bodegafrontos/,,https://www.google.com/maps/search/?api=1&query=Bodega%20Frontos%2C%20Lomo%20Grande%201%2C%20Los%20Blanquitos%2C%2038600%20Granadilla%20de%20Abona%2C%20Tenerife,28.1295827,-16.5456840,,pendiente
bodega-altos-de-trevejos-vilaflor,Bodega Altos de Trevejos,Vilaflor,Vino,"Vino tinto varietal de Baboso Negro Altos de Trevejos, Blanco seco Listán","Camino Real de Vilaflor, 5, 38615 Vilaflor, Tenerife","Productor local artesanal de vino tinto varietal de baboso negro altos de trevejos, blanco seco listán en Vilaflor, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Visitas concertadas,620 90 80 70,info@altosdetrevejos.com,https://altosdetrevejos.com,https://www.facebook.com/altosdetrevejos/,https://www.instagram.com/altosdetrevejos/,https://www.google.com/maps/search/?api=1&query=Bodega%20Altos%20de%20Trevejos%2C%20Camino%20Real%20de%20Vilaflor%2C%205%2C%2038615%20Vilaflor%2C%20Tenerife,28.1552000,-16.6445000,,pendiente
bodega-cumbres-de-abona-arico,Bodega Cumbres de Abona,Arico,Vino,"Vino blanco afrutado Testamento Malvasía Aromática, Tinto Flor de Chasna","Calle El Calvario, 3, Teguedite, 38589 Arico, Tenerife","Productor local artesanal de vino blanco afrutado testamento malvasía aromática, tinto flor de chasna en Arico, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Vie 08:00–15:00,922 76 80 00,info@cumbresdeabona.es,https://cumbresdeabona.es,https://www.facebook.com/cumbresdeabona/,https://www.instagram.com/cumbresdeabona/,https://www.google.com/maps/search/?api=1&query=Bodega%20Cumbres%20de%20Abona%2C%20Calle%20El%20Calvario%2C%203%2C%20Teguedite%2C%2038589%20Arico%2C%20Tenerife,28.1817000,-16.4982000,,pendiente
bodegas-el-penitente-la-orotava,Bodegas Arautava,La Orotava,Vino,"Vino Arautava blanco fermentado en barrica, Arautava dulce","Camino La Habanera, 286, 38300 La Orotava, Tenerife","Productor local artesanal de vino arautava blanco fermentado en barrica, arautava dulce en La Orotava, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Lun-Vie 08:00–16:00,922 30 90 24,info@bodegasarautava.com,https://bodegasarautava.com/,https://www.facebook.com/arautavawines/,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Arautava%2C%20Camino%20La%20Habanera%20286%2C%2038300%20La%20Orotava%2C%20Tenerife,28.3742013,-16.5379246,,pendiente
bodega-crater-el-sauzal,Bodega Crater,El Sauzal,Vino,"Vino tinto Crater crianza, Magma de Crater de viñedos ecológicos","Calle Los Ángeles, 43, 38360 El Sauzal, Tenerife","Productor local artesanal de vino tinto crater crianza, magma de crater de viñedos ecológicos en El Sauzal, Santa Cruz de Tenerife. Fiel al compromiso de proximidad y comercio justo.",Visitas previa cita,922 56 12 13,crater@bodegascrater.com,,https://www.facebook.com/bodegascrater/,,https://www.google.com/maps/search/?api=1&query=Bodega%20Crater%2C%20Calle%20Los%20%C3%81ngeles%2C%2043%2C%2038360%20El%20Sauzal%2C%20Tenerife,28.4692000,-16.4455000,,pendiente
