slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,fecha_revision,imagen
bodegas-martin-codax-cambados,Bodegas Martín Códax,Cambados,Bodega,"Albariño Rías Baixas, vino blanco, enoturismo","Burgáns 91, 36633 Vilariño, Cambados, Pontevedra","Bodegas Martín Códax es un productor local de Cambados especializado en albariño rías baixas, vino blanco, enoturismo, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 52 60 40,,http://www.martincodax.com/,,https://www.instagram.com/martincodax/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Mart%C3%ADn%20C%C3%B3dax%2C%20Burg%C3%A1ns%2091%2C%2036633%20Vilari%C3%B1o%2C%20Cambados%2C%20Pontevedra&query_place_id=ChIJp9MXItZqLw0RX8CVQVWKOEI,42.5200683,-8.792394,2026-05-14,
adega-paco-y-lola-meano,Adega Paco & Lola,Meaño,Bodega,"Albariño Paco & Lola, vinos Rías Baixas","Xil, 36968 Meaño, Pontevedra","Adega Paco & Lola es un productor local de Meaño especializado en albariño paco & lola, vinos rías baixas, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 74 77 79,,http://pacolola.com/,https://www.facebook.com/pacolola/,https://www.instagram.com/pacolola/,https://www.google.com/maps/search/?api=1&query=Adega%20Paco%20%26%20Lola%2C%20Xil%2C%2036968%20Mea%C3%B1o%2C%20Pontevedra&query_place_id=ChIJAajuqtVrLw0RDhg1WKIl0jE,42.4508548,-8.7892959,2026-05-14,
pazo-senorans-meis,Pazo Señorans,Meis,Bodega,"Albariño, aguardiente, vino de pago","Lugar de Vilanoviña, 36616 Paradela, Meis, Pontevedra","Pazo Señorans es un productor local de Meis especializado en albariño, aguardiente, vino de pago, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 71 53 73,,http://pazodesenorans.com/,,https://www.instagram.com/pazodesenorans/,https://www.google.com/maps/search/?api=1&query=Pazo%20Se%C3%B1orans%2C%20Lugar%20de%20Vilanovi%C3%B1a%2C%2036616%20Paradela%2C%20Meis%2C%20Pontevedra&query_place_id=ChIJQ1slmSATLw0R-XlZIdzKMhs,42.5470687,-8.7088078,2026-05-14,
mar-de-frades-meis,Mar de Frades,Meis,Bodega,"Albariño, vino blanco atlántico, espumoso","Finca Valiñas, 36637 Meis, Pontevedra","Mar de Frades es un productor local de Meis especializado en albariño, vino blanco atlántico, espumoso, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,637 47 94 69,,http://www.mardefrades.es/,,https://www.instagram.com/mardefrades/,https://www.google.com/maps/search/?api=1&query=Mar%20de%20Frades%2C%20Finca%20Vali%C3%B1as%2C%2036637%20Meis%2C%20Pontevedra&query_place_id=ChIJ6eT7zxQULw0RjpWspOZS5rk,42.5033216,-8.7489641,2026-05-14,
bodegas-granbazan-vilanova-de-arousa,Bodegas Granbazán,Vilanova de Arousa,Bodega,"Albariño, vinos Rías Baixas, enoturismo","Lugar de Tremoedo 46, 36628 Vilanova de Arousa, Pontevedra","Bodegas Granbazán es un productor local de Vilanova de Arousa especializado en albariño, vinos rías baixas, enoturismo, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 55 55 62,,https://www.bodegasgranbazan.com/,,https://www.instagram.com/granbazan/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Granbaz%C3%A1n%2C%20Lugar%20de%20Tremoedo%2046%2C%2036628%20Vilanova%20de%20Arousa%2C%20Pontevedra&query_place_id=ChIJgREJ4NsULw0RgA-DlkA6TnM,42.5397545,-8.7866213,2026-05-14,
terras-gauda-o-rosal,Terras Gauda,O Rosal,Bodega,"Albariño, loureiro, caíño blanco","Estrada Tui-A Guarda km 55, 36760 O Rosal, Pontevedra","Terras Gauda es un productor local de O Rosal especializado en albariño, loureiro, caíño blanco, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 62 10 01,,https://terrasgauda.com/,,https://www.instagram.com/terrasgauda/,https://www.google.com/maps/search/?api=1&query=Terras%20Gauda%2C%20Estrada%20Tui-A%20Guarda%20km%2055%2C%2036760%20O%20Rosal%2C%20Pontevedra&query_place_id=ChIJZxVVM9WUJQ0RqQrDnvniADs,41.9369232,-8.7912722,2026-05-14,
adegas-santiago-ruiz-o-rosal,Adegas Santiago Ruiz,O Rosal,Bodega,"Albariño, vinos blancos de O Rosal","Rúa do Vinicultor Santiago Ruiz s/n, 36760 San Miguel de Tabagón, O Rosal, Pontevedra","Adegas Santiago Ruiz es un productor local de O Rosal especializado en albariño, vinos blancos de o rosal, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 61 40 83,,http://www.bodegasantiagoruiz.com/,,https://www.instagram.com/bodegasantiagoruiz/,https://www.google.com/maps/search/?api=1&query=Adegas%20Santiago%20Ruiz%2C%20R%C3%BAa%20do%20Vinicultor%20Santiago%20Ruiz%20s%2Fn%2C%2036760%20San%20Miguel%20de%20Tabag%C3%B3n%2C%20O%20Rosal%2C%20Pontevedra&query_place_id=ChIJLSUrihWVJQ0RpYGF-fX0VFs,41.9183824,-8.8166821,2026-05-14,
quinta-couselo-o-rosal,Quinta Couselo,O Rosal,Bodega,"Albariño, vinos de finca, destilados","Barrio Couselo 13, 36770 O Rosal, Pontevedra","Quinta Couselo es un productor local de O Rosal especializado en albariño, vinos de finca, destilados, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,638 92 70 59,,http://www.quintacouselo.com/,,https://www.instagram.com/quintacouselo/,https://www.google.com/maps/search/?api=1&query=Quinta%20Couselo%2C%20Barrio%20Couselo%2013%2C%2036770%20O%20Rosal%2C%20Pontevedra&query_place_id=ChIJmZ2URy7rJQ0RTFostjxH8Fg,41.934756,-8.827967,2026-05-14,
adegas-valminor-o-rosal,Adegas Valmiñor,O Rosal,Bodega,"Albariño, vinos blancos, D.O. Rías Baixas","Estrada A Guarda - Tui 245, Barrio Portela, 36760 O Rosal, Pontevedra","Adegas Valmiñor es un productor local de O Rosal especializado en albariño, vinos blancos, d.o. rías baixas, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 60 90 60,,http://adegasvalminor.com/,,https://www.instagram.com/adegasvalminor/,https://www.google.com/maps/search/?api=1&query=Adegas%20Valmi%C3%B1or%2C%20Estrada%20A%20Guarda%20-%20Tui%20245%2C%20Barrio%20Portela%2C%2036760%20O%20Rosal%2C%20Pontevedra&query_place_id=ChIJt4CUpyqVJQ0RcJWhDte10ko,41.9329299,-8.7947543,2026-05-14,
senorio-de-rubios-as-neves,Señorío de Rubiós,As Neves,Bodega,"Albariño Condado do Tea, tintos, espumosos","Bouza do Rato s/n, Rubiós, 36448 As Neves, Pontevedra","Señorío de Rubiós es un productor local de As Neves especializado en albariño condado do tea, tintos, espumosos, integrado en la oferta agroalimentaria de proximidad de la provincia de Pontevedra.",Consultar web o venta directa,986 66 72 12,,https://www.srubios.com/,,,https://www.google.com/maps/search/?api=1&query=Se%C3%B1or%C3%ADo%20de%20Rubi%C3%B3s%2C%20Bouza%20do%20Rato%20s%2Fn%2C%20Rubi%C3%B3s%2C%2036448%20As%20Neves%2C%20Pontevedra&query_place_id=ChIJE_cVW9l5JQ0RmmBn2ouQn3Y,42.1200569,-8.4301511,2026-05-14,
