slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
cuor-di-pizza-la-gaipa,Cuor di Pizza La Gaipa,Agrigento,Lácteos y quesos,Mozzarella; quesos de pasta hilada; especialidades lácteas,Via Unità d'Italia 40/B,"Caseificio de Agrigento activo desde 1985 que elabora mozzarella, quesos de pasta hilada y otras especialidades lácteas para mercados profesionales e internacionales.",,+390922602446,info@cuordipizza.com,https://cuordipizza.com/,,,,37.31065,13.57661,,parcial,no comprobado,,,1620,en
la-trinacria-dalli-cardillo,La Trinacria Dalli Cardillo,Agrigento,Lácteos y quesos,Mozzarella; quesos de pasta hilada; quesos de mesa; cremas lácteas,Via Unità d'Italia 84,"Unidad productiva del grupo Dalli Cardillo dedicada a una gama amplia de mozzarella, quesos de pasta hilada, quesos de mesa y cremas lácteas.",,+390922602080,info@dallicardillospa.com,https://www.dallicardillospa.com/,,,,37.31065,13.57661,,parcial,no comprobado,,,2274,en
caseificio-modica,Caseificio Modica,Aragona,Lácteos y quesos,Pecorino con pimienta negra; pecorino con aceitunas; caciotte; ricotta,Via Miniera Pozzo Nuovo - Zona Industriale,"Caseificio de Aragona que elabora pecorinos aromatizados y curados, caciotte y ricotta en su planta de Via Miniera Pozzo Nuovo.",,+390922591335,info@caseificiomodica.it,https://www.caseificiomodica.it/,,,,37.40738,13.61894,,parcial,no comprobado,,,1255,en
caseificio-casabella,Caseificio Casabella,Cammarata,Lácteos y quesos,Ricotta; quesos frescos y curados; mozzarella; mantequilla,Contrada Casabella snc,"Caseificio familiar de Cammarata que transforma leche de vaca, oveja, cabra y búfala en ricotta, mozzarella y quesos frescos y curados.",,,,,,,,37.63111,13.63222,,parcial,no comprobado,,,1007,en
caseificio-li-chiani,Caseificio Li Chiani,Cammarata,Lácteos y quesos,Pecorino con pimentón; pecorino con trufa; pecorino con azafrán; ricotta,Contrada Piana sn,"Caseificio de Cammarata especializado en quesos de leche de oveja, incluidos pecorinos aromatizados y ricotta.",,,,,,,,37.63111,13.63222,,parcial,no comprobado,,,1219,en
cooperativa-tumarrano,Cooperativa Agricola Zootecnica Tumarrano,Cammarata,Lácteos y quesos,Ricotta fresca; queso fresco; pecorino semicurado; caciocavallo; canestrato,Contrada Giuri - Passo del Barbiere sn,"Cooperativa de ganaderos de Cammarata que recoge leche de sus socios y la transforma en quesos frescos, pecorinos, canestratos, caciocavallo y ricotta.",,+390922904064,tumarrano@libero.it,https://www.tumarrano.it/,,,,37.63111,13.63222,,parcial,no comprobado,,,1581,en
giambrone-fattoria,Giambrone Fattoria,Cammarata,Lácteos y quesos,Mozzarella de búfala; pecorino; canestrato; ricotta; provola siciliana,Contrada Passo del Barbiere snc,Explotación didáctica y caseificio de Cammarata que transforma leche de sus rebaños en quesos tradicionales y mozzarella de búfala.,,+390922900621,,,,,,37.63111,13.63222,,parcial,no comprobado,,,2017,en
latteria-guana,Latteria Guana,Cammarata,Lácteos y quesos,Quesos frescos y curados; fior di latte; mantequilla; productos lácteos,Contrada Tumarrano sn,"Latteria de Cammarata dedicada a producir derivados de la leche, incluidos quesos frescos y curados, fior di latte y mantequilla.",,,,,,,,37.63111,13.63222,,parcial,no comprobado,,,2355,en
caseificio-mangiapane,Caseificio Mangiapane,Cammarata,Lácteos y quesos,Cacio fresco de leche cruda; queso de vaca Modicana con pimienta negra,Contrada Casalicchio,Caseificio artesanal de Maria Giuseppa Mangiapane que trabaja leche cruda de vaca Modicana y elabora cacio fresco y quesos aromatizados.,,,,,,,,37.63111,13.63222,,parcial,no comprobado,,,1235,en
caseificio-costanzo-cammarata,Caseificio Costanzo,Cammarata,Lácteos y quesos,Queso fresco de cabra; queso semicurado; queso curado; ricotta de cabra,Contrada Soria sn,"Explotación casearia de Cammarata que transforma leche cruda de cabra propia en quesos frescos, semicurados y curados y ricotta.",,,,,https://www.facebook.com/caseificiocostanzo/,,,37.63111,13.63222,,parcial,sí,ecommerce,,1043,en
