slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
hoshino-bussan-midori,Hoshino Bussan,Midori,Pan y cereal,Udon,,,,,,http://www.hoshinet.co.jp/,,,,36.394810,139.281140,,parcial,no comprobado,,
tsuchida-shuzo-kawaba,Tsuchida Shuzo,Kawaba,Sake,,群馬県利根郡川場村大字川場湯原2691,,,+81278523511,,http://www.homare.biz/,,,,36.753902,139.138962,,parcial,no comprobado,,
nagai-shuzo-kawaba,Nagai Shuzo,Kawaba,Sake,,群馬県利根郡川場村門前713,,,+81278522311,,http://www.nagai-sake.co.jp/,,,,36.720596,139.091675,,parcial,no comprobado,,
nagai-honke-numata,Nagai Honke,Numata,Sake,,群馬県沼田市下発知町703,,,+81278239118,,http://www.nagaihonke.co.jp/index.htm,,,,36.68417,139.061218,,parcial,no comprobado,,
otone-shuzo-numata,Otone Shuzo,Numata,Sake,,群馬県沼田市白沢町高平1306-2,,,+81278532334,,http://www.sadaijin.co.jp/index.php,,,,36.681152,139.163528,,parcial,no comprobado,,
asama-shuzo-naganohara,Asama Shuzo,Naganohara,Sake,,群馬県吾妻郡長野原町長野原1392-10,,,+81279822045,,http://www.asama-sakagura.co.jp/,,,,36.544224,138.649628,,parcial,no comprobado,,
kimusume-shuzo-nakanojo,Kimusume Shuzo,Nakanojo,Sake,,群馬県吾妻郡中之条町大塚1768-2,,,+81279753146,,http://www.gunma-sake.or.jp/kimusume/index.php,,,,36.616955,138.883728,,parcial,no comprobado,,
shimaoka-shuzo-ota,Shimaoka Shuzo,Ota,Sake,,群馬県太田市由良町375-2,,,+81276312432,,http://www.gunma-sake.or.jp/gunmaizumi/index.php,,,,36.289745,139.342056,,parcial,no comprobado,,
imai-shuzoten-ota,Imai Shuzoten,Ota,Sake,,群馬県太田市鳥山中町746-2,,,+81276222680,,https://www.nihonsyu.org/,,,,36.314255,139.348114,,parcial,no comprobado,,
kondo-shuzo-midori,Kondo Shuzo,Midori,Sake,,群馬県みどり市大間々町大間々1002,,,+81277722221,,http://www.akagisan.com/,,,,36.433327,139.274185,,parcial,no comprobado,,
okamura-takasaki,Okamura,Takasaki,Sake,,群馬県高崎市台町5,,,+81273224137,,http://www.gunma-sake.or.jp/okamura/index.php,,,,36.3339,138.999481,,parcial,no comprobado,,
takai-fujioka,Takai,Fujioka,Sake,,群馬県藤岡市鮎川138,,,+81274240011,,https://takai-iwao.net/,,,,36.233429,139.057144,,parcial,no comprobado,,
tajima-shuzoten-fujioka,Tajima Shuzoten,Fujioka,Sake,,群馬県藤岡市神田899,,,+81274220808,,,,,,36.213062,139.064758,,parcial,no comprobado,,
shibazaki-shuzo-yoshioka,Shibazaki Shuzo,Yoshioka,Sake,,群馬県北群馬郡吉岡町下野田649-1,,,+81279551141,,http://www.funaotaki.com/company.html,,,,36.448631,139.006485,,parcial,no comprobado,,
shimizuya-shuzo-tatebayashi,Shimizuya Shuzo,Tatebayashi,Sake,,群馬県館林市台宿町3-10,,,+81276740269,,http://www.shimizuyasyuzo.co.jp/,,,,36.253387,139.535461,,parcial,no comprobado,,
shotoku-meijo-kanra,Shotoku Meijo,Kanra,Sake,,群馬県甘楽郡甘楽町白倉686-1,,,+81274744111,,http://www.gunma-sake.or.jp/seitoku/index.php,,,,36.247509,138.945099,,parcial,no comprobado,,
ida-shuzo-tamamura,Ida Shuzo,Tamamura,Sake,,群馬県佐波郡玉村町上新田1626,,,+81270652007,,http://www.gunma-sake.or.jp/fujiizumi/index.php,,,,36.303627,139.107819,,parcial,no comprobado,,
tan-popo-takasaki,みるく工房タンポポ,Takasaki,Lácteos y quesos,,群馬県高崎市鼻高町1380,Produces cheese and dairy products at its Takasaki unit.,,,,https://www.tan-popo.co.jp/,,,,36.323110,139.002360,,verificado,sí,ecommerce,
vilmilk-oizumi,ビルミルクチーズ工房,Oizumi,Lácteos y quesos,"クリームチーズ, フレッシュミナスチーズ, ミナスチーズ熟成",群馬県邑楽郡大泉町坂田3-10-11,Produces cheese and dairy products at its Oizumi unit.,,,,https://www.vilmilk.jp/,,,,36.247830,139.404920,,verificado,sí,ecommerce,
sutofarm-maebashi,須藤牧場のチーズ工房,Maebashi,Lácteos y quesos,,群馬県前橋市泉沢町190,Produces cheese and dairy products at its Maebashi unit.,,,,https://sutofarm.com/,,,,36.389500,139.063440,,verificado,no comprobado,,
kouzubokujyo-shimonita,神津牧場,Shimonita,Lácteos y quesos,"神津ゴーダ, 神津トマト&バジル",群馬県甘楽郡下仁田町南野牧250,Produces cheese and dairy products at its Shimonita unit.,,,,http://www.kouzubokujyo.or.jp/,,,,36.212470,138.789140,,verificado,no comprobado,,
nihonichi-shoyu-machida,岡直三郎商店,Machida,Condimentos,にほんいち醤油 一番しぼり,東京都町田市旭町1-23-21,Produces soy sauce and traditional seasonings at its Machida brewery.,,+81427222024,,https://nihonichi-shoyu.co.jp/,,,,35.546670,139.438610,,verificado,sí,ecommerce,
aritaya-annaka,有田屋,Annaka,Condimentos,丸大豆仕込天然醸造醤油,群馬県安中市安中2-4-24,Produces soy sauce and traditional seasonings at its Annaka brewery.,,+81273822121,,https://aritaya.com/,,,,36.340830,138.776390,,verificado,sí,ecommerce,
