slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
iinuma-honke-shisui,Iinuma Honke,Shisui,Sake,,千葉県印旛郡酒々井町馬橋106,,,+81434961111,,http://www.iinumahonke.co.jp/,,,,35.707287,140.271637,,parcial,no comprobado,,
asahitsuru-sakura,Asahitsuru,Sakura,Sake,,千葉県佐倉市馬渡918,,,+81120650002,,http://www.asahiduru.jp/,,,,35.66927,140.22673,,parcial,no comprobado,,
iida-honke-katori,Iida Honke,Katori,Sake,,千葉県香取市小見川178,,,+81478822037,,http://www.chiba-sake.jp/suigo/iida/,,,,35.852749,140.601807,,parcial,no comprobado,,
iida-shuzojo-choshi,Iida Shuzojo,Choshi,Sake,,千葉県銚子市清川町2-1-2,,,+81479220821,,http://maruchiba.jp/sys/data/index/page/id/17158,,,,35.729614,140.820404,,parcial,no comprobado,,
ishigami-shuzo-choshi,Ishigami Shuzo,Choshi,Sake,,千葉県銚子市田中町7-1,,,+81479220655,,http://www.isbc.co.jp/,,,,35.732742,140.842758,,parcial,no comprobado,,
kubota-shuzo-noda,Kubota Shuzo,Noda,Sake,,千葉県野田市山崎685,,,+81471253331,,http://www.chuokai-chiba.or.jp/sake/kura/kura41.html,,,,35.915726,139.893127,,parcial,no comprobado,,
aoyagi-shuzo-yokoshibahikari,Aoyagi Shuzo,Yokoshibahikari,Sake,,千葉県山武郡横芝光町篠本726,,,+81479850012,,,,,,35.703388,140.499939,,parcial,no comprobado,,
umeichirin-shuzo-sanmu,Umeichirin Shuzo,Sanmu,Sake,,千葉県山武市松ヶ谷イ2902,,,+81475842221,,http://www.umeichirin.com/,,,,35.584686,140.473022,,parcial,no comprobado,,
kankiku-meijo-sanmu,Kankiku Meijo,Sanmu,Sake,,千葉県山武市松尾町武野里11,,,+81479863050,,http://www.kankiku.com/,,,,35.625526,140.483612,,parcial,no comprobado,,
inaka-shuzo-ichinomiya,Inaka Shuzo,Ichinomiya,Sake,,千葉県長生郡一宮町東浪見5841,,,+81475423134,,http://www.inahana-syuzou.com/,,,,35.361095,140.372665,,parcial,no comprobado,,
kidoizumi-shuzo-isumi,Kidoizumi Shuzo,Isumi,Sake,,千葉県いすみ市大原7635-1,,,+81470620013,,http://kidoizumi.jpn.com/,,,,35.252422,140.387589,,parcial,no comprobado,,
iwase-shuzo-onjuku,Iwase Shuzo,Onjuku,Sake,,千葉県夷隅郡御宿町久保1916,,,+81470682034,,http://iwanoi.com/,,,,35.191868,140.355713,,parcial,no comprobado,,
azumanada-jozo-katsuura,Azumanada Jozo,Katsuura,Sake,,千葉県勝浦市串浜1033,,,+81470735221,,https://azumanada.net/,,,,35.155655,140.303329,,parcial,no comprobado,,
kameda-shuzo-kamogawa,Kameda Shuzo,Kamogawa,Sake,,千葉県鴨川市仲329,,,+81470971116,,http://jumangame.com/,,,,35.131218,140.026093,,parcial,no comprobado,,
kase-farm-katori,Kase Farm,Katori,Fruta y verdura,Organic vegetables,千葉県香取市沢2602　他,"Kase Farm produces organic vegetables at its Katori unit, which is listed in the national organic JAS operator register.",,+81478795665,,https://kasenouen.com/,,,,35.812061,140.471405,,verificado,no comprobado,,
ohtaka-shoyu-sanmu,Ohtaka Shoyu,Sanmu,Condimentos,"Soy sauce, tsuyu, tare",千葉県山武市富田540,"Ohtaka Shoyu produces soy sauce, tsuyu, tare at its Sanmu unit, which is listed in the national organic JAS operator register.",,+81475825581,,https://ohtakasho-yu.shop-pro.jp/?mode=sk,,,,35.612583,140.423325,,verificado,sí,ecommerce,
sen-otaki,チーズ工房【千】sen,Otaki,Lácteos y quesos,"和み, うぶすな, 豊熟",千葉県夷隅郡大多喜町馬場内178,Produces cheese and dairy products at its Otaki unit.,,,,https://fromage-sen.com/,,,,35.809330,137.550750,,verificado,sí,ecommerce,
matthewswine-tateyama,マシューズワイン 株式会社/館山ワイナリー,Tateyama,Vino,,千葉県館山市市川名774番,Produces wine at its Tateyama unit.,,,,https://matthewswine.net/,,,,34.996580,139.869970,,verificado,no comprobado,,
takahide-dairyfarm-isumi,高秀牧場チーズ工房,Isumi,Lácteos y quesos,"高秀ブッラータ, ミルクのたまご（スモーク）, いすみの白い月",千葉県いすみ市須賀谷1339-1,Produces cheese and dairy products at its Isumi unit.,,,,https://www.takahide-dairyfarm.com/,,,,35.253920,140.385190,,parcial,no comprobado,,
taiheig-sosa-shi,タイヘイ,Sōsa-shi,Condimentos,平左衛門,千葉県匝瑳市八日市場イ2614,Produces soy sauce and traditional seasonings at its Sōsa-shi brewery.,,+81479731111,,https://www.taiheig.co.jp/shokuhin/,,,,35.707860,140.564280,,parcial,no comprobado,,
miyashoyu-futtsu,宮醤油店,Futtsu,Condimentos,さしみしょうゆ,千葉県富津市佐貫247番地,Produces soy sauce and traditional seasonings at its Futtsu brewery.,,+81439660003,,http://www.miyashoyu.co.jp/,,,,35.304080,139.857030,,parcial,no comprobado,,
ikspiari-urayasu,イクスピアリ (ハーヴェスト・ムーン),Urayasu,Cerveza,,,Brews beer at its Urayasu unit.,,,,https://ikspiari.com/,,,,35.653140,139.902000,,verificado,sí,ecommerce,
tabechoku-21957,ハチミツさん,Isumi,Miel,蜂蜜,,Produces honey at its Isumi unit.,,,,,,,,35.253920,140.385190,,parcial,sí,marketplace,
tabechoku-3077998,ONE DROP FARM,Ichihara,Miel,"柑橘, 野菜, 蜂蜜",,"Produces citrus fruit, vegetables and honey at its Ichihara unit.",,,,,,,,35.498060,140.115440,,parcial,sí,marketplace,
tabechoku-23733,戸辺養鶏場,Noda,Huevos,,,Produces eggs at its Noda unit.,,,,,,,,35.955080,139.874810,,parcial,sí,marketplace,
tabechoku-25605,豊受きのこ園,Abiko,Setas,"しいたけ, きのこ",,Produces shiitake and mushrooms at its Abiko unit.,,,,,,,,35.864220,140.028390,,parcial,sí,marketplace,
tabechoku-20616,きのこ屋でんべえ,Asahi,Setas,,,Produces mushrooms at its Asahi unit.,,,,,,,,35.716060,140.648140,,parcial,sí,marketplace,
tabechoku-22946,留守農場,Yachimata,Fruta y verdura,"野菜, 落花生",,Produces vegetables and peanuts at its Yachimata unit.,,,,,,,,35.665890,140.317940,,parcial,sí,marketplace,
tabechoku-20925,東京湾水産,Futtsu,Pescado,,,Produces fish and seafood at its Futtsu unit.,,,,,,,,35.304080,139.857030,,parcial,sí,marketplace,
tabechoku-20417,不動丸,Asahi,Condimentos,味噌,,Produces miso at its Asahi unit.,,,,,,,,35.716060,140.648140,,parcial,sí,marketplace,
tabechoku-22463,鈴常丸,Funabashi,Pescado,,,Produces fish and seafood at its Funabashi unit.,,,,,,,,35.694560,139.982560,,parcial,sí,marketplace,
tabechoku-24550,ジェリービーンズ,Tako,Carne,豚肉,,Produces pork at its Tako unit.,,,,,,,,35.735610,140.467750,,parcial,sí,marketplace,
tabechoku-3078158,大倉モーモー農園,Chiba,Legumbres,落花生,,Produces peanuts at its Chiba unit.,,,,,,,,35.607280,140.106360,,parcial,sí,marketplace,
tabechoku-28505,ヤマハン,Asahi,Legumbres,落花生,,Produces peanuts at its Asahi unit.,,,,,,,,35.716060,140.648140,,parcial,sí,marketplace,
tabechoku-29583,ラグエルジャパン,Ichihara,Fruta y verdura,"ブルーベリー, ジャム",,Produces blueberries and jam at its Ichihara unit.,,,,,,,,35.498060,140.115440,,parcial,sí,marketplace,
tabechoku-23284,輝農塾,Chiba,Pan y cereal,米,,Produces rice at its Chiba unit.,,,,,,,,35.607280,140.106360,,parcial,sí,marketplace,
tabechoku-20073,ののま自然農園,Kimitsu,Legumbres,"野菜, 大豆",,Produces vegetables and soybeans at its Kimitsu unit.,,,,,,,,35.330530,139.902470,,parcial,sí,marketplace,Fruta y verdura
tabechoku-22632,ksfarm,Shiroi,Fruta y verdura,"梨, ジュース",,Produces pears and juice at its Shiroi unit.,,,,,,,,35.791470,140.056310,,parcial,sí,marketplace,
tabechoku-26865,アグリヨシノ,Yachimata,Fruta y verdura,"生姜, 野菜",,Produces ginger and vegetables at its Yachimata unit.,,,,,,,,35.665890,140.317940,,parcial,sí,marketplace,
tabechoku-25506,おかざきファーム,Minamiboso,Fruta y verdura,"野菜, ビール",,Produces vegetables and beer at its Minamiboso unit.,,,,,,,,35.043170,139.840000,,parcial,sí,marketplace,
tabechoku-73,ベジLIFE!!,Abiko,Fruta y verdura,野菜,,Produces vegetables at its Abiko unit.,,,,,,,,35.864220,140.028390,,parcial,sí,marketplace,
tabechoku-29215,和か葉農園,Noda,Fruta y verdura,野菜,,Produces vegetables at its Noda unit.,,,,,,,,35.955080,139.874810,,parcial,sí,marketplace,
tabechoku-3079015,こもれび果実,Kamagaya,Fruta y verdura,梨,,Produces pears at its Kamagaya unit.,,,,,,,,35.772780,139.998890,,parcial,sí,marketplace,
tabechoku-24128,漬物工房彩,Katori,Fruta y verdura,"ねぎ, 漬物",,Produces green onions and pickles at its Katori unit.,,,,,,,,35.897720,140.499190,,parcial,sí,marketplace,
jp-chiba-k-sasaya-57771ea,ささや,千葉市,Dulces y repostería,和菓子,千葉市稲毛区緑町 1-24-2,"Produces Japanese confectionery in 千葉市, chiba.",,,,http://www.k-sasaya.jp/,,,,35.607280,140.106360,,verificado,no comprobado,,
jp-chiba-nagomi-yoneya-co-4d83aaf,なごみの米屋,成田市,Dulces y repostería,和菓子,成田市上町 500,"Produces Japanese confectionery in 成田市, chiba.",,,,https://nagomi-yoneya.co.jp/,,,,35.776670,140.318330,,verificado,sí,ecommerce,
jp-chiba-boyodo-co-a0e37cd,房洋堂,館山市,Dulces y repostería,和菓子,館山市安布里 780,"Produces Japanese confectionery in 館山市, chiba.",,,,http://boyodo.co.jp/,,,,34.996580,139.869970,,verificado,sí,ecommerce,
jp-chiba-shigeno-co-ddf3ef6,茂野製麺㈱,鎌ヶ谷市,Pan y cereal,乾麺,,"Produces dried noodles in 鎌ヶ谷市, chiba.",,,,https://shigeno.co.jp/online-shop/,,,,35.772780,139.998890,,verificado,sí,ecommerce,
