slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
somerset-cider-brandy-company,Somerset Cider Brandy Company,Kingsbury Episcopi,Destilados y licores,"Somerset Cider Brandy, Burrow Hill Cider","Pass Vale Farm, Burrow Hill, Kingsbury Episcopi, Martock, Somerset TA12 6BU","Orchard, cider house and distillery at Burrow Hill, distilling cider brandy from its own fruit.",,,matilda@somersetciderbrandy.com,https://somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy,,50.976344,-2.838676,,parcial,sí,ecommerce,Sidra,593,en
westcombe-dairy,Westcombe Dairy,Batcombe,Lácteos y quesos,"Westcombe Cheddar, Caerphilly, ricotta","Lower Westcombe Farm, Westcombe, Somerset BA4 6ER","Farmhouse dairy making raw-milk cheddar and other cheeses, matured in its own cellars.",,,karina@westcombedairy.com,https://westcombedairy.com/,,https://www.instagram.com/westcombe,,51.151736,-2.463288,,parcial,sí,ecommerce,,731,en
bridge-farm-cider,Bridge Farm Cider,East Chinnock,Sidra,artisan farmhouse cider,"Bridge Farm, Fordhay, East Chinnock, Yeovil, Somerset, BA22 9EA",Farm cidery producing artisan cider and selling it from its East Chinnock farm shop.,,+441935862387,info@bridgefarmcider.co.uk,https://bridgefarmcider.co.uk/,,,,50.913089,-2.720468,,verificado,no comprobado,,,87,en
hecks-farmhouse-cider,Hecks Farmhouse Cider,Street,Sidra,traditional farmhouse cider and perry,"9-11 Middle Leigh, Street, Somerset, BA16 0LB",Sixth-generation family producer making traditional cider from locally grown orchard fruit and fermenting it in wooden barrels.,,+441458442367,andrew@heckscider.com,https://www.heckscider.com/,,,,51.121183,-2.741936,,verificado,no,,,301,en
styles-farmhouse-ice-cream,Styles Farmhouse Ice Cream,Williton,Helados,farmhouse ice cream and sorbet,"Wibble Business Park, Williton, Taunton, Somerset, TA4 4DD",Somerset producer making farmhouse ice cream and sorbet with West Country dairy ingredients at its Williton unit.,Weekdays 09:00-15:00,+441984640255,info@styles-icecream.co.uk,https://www.styles-icecream.co.uk/,,,,51.167185,-3.28677,,verificado,no,,Lácteos y quesos,626,en
electric-bear-brewing,Electric Bear Brewing,Bath,Cerveza,"IPA, pale ale, sour beer and mixed cases","Unit 12, The Maltings, Brassmill Lane, Bath, Somerset, BA1 3JL",Independent Bath brewery canning fresh modern ales at source and operating a taproom inside the brewery.,,+441225424088,hello@electricbearbrewing.com,https://electricbearbrewing.com/,,,,51.383533,-2.396593,,verificado,sí,ecommerce|suscripcion,,208,en
wilding-cider,Wilding Cider,Chew Magna,Sidra,natural cider and perry,"Wilding Orchard, Westfield Farm, Limeburn Hill, Chew Magna, Somerset, BS40 8QW",Organic orchard farmers making natural cider and perry with slowly fermented fruit from traditional orchards.,,,info@wildingcider.co.uk,https://www.wildingcider.co.uk/,,,,51.37033,-2.629449,,verificado,sí,email,,747,en
torre-cider-farm,Torre Cider Farm,Washford,Sidra,traditional Somerset scrumpy and fruit cider,"Torre Cider Farm, Washford, Watchet, Somerset, TA23 0LA",Family cider farm producing traditional Somerset cider and apple products at its Washford orchard and farm shop.,Daily 10:00-17:00,+441984640004,info@torrecider.farm,https://torrecider.farm/,,,,51.151453,-3.364874,,verificado,no,,Bebidas sin alcohol,693,en
milk-street-brewery,Milk Street Brewery,Berkley,Cerveza,,"Unit L13, Commerce Park, Marshall Way, Frome, BA11 2FB",Brewery producing beer at its Berkley unit.,,,,,,https://www.instagram.com/milkstreetbrewery,,51.2424,-2.2715,,parcial,no comprobado,,,437,en
brown-and-forrest,Brown & Forrest,Hambridge,Pescado,"eel, fish","Bowdens Farm, Hambridge, Langport, TA10 0BP",Family-run smokery on the Somerset Levels smoking fish and hot-smoked eel in brick kilns.,,+441458250875,sales@brownandforrest.co.uk,https://brownandforrest.co.uk,,,,51.000291,-2.859744,,verificado,sí,ecommerce,,95,en
porlock-bay-oysters,Porlock Bay Oysters,Porlock Weir,Pescado,oysters,"The Old Schoolhouse, Porlock Weir, Minehead, TA24 8PD",High-grade Pacific and native oysters grown in Porlock Bay's Grade A waters.,,+441643863131,info@porlockbayoysters.co.uk,https://porlockbayoysters.co.uk,,,,51.219316,-3.62814,,parcial,no comprobado,,,519,en
