slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
kakukyu-hatcho-miso-okazaki,Kakukyu Hatcho Miso,Okazaki,Condimentos,Hatcho miso,,,,,,https://www.kakukyu.jp/,,,,34.954720,137.173030,,pendiente,no comprobado,,,480,,,,,,
y-market-brewing-nagoya,Y.Market Brewing,Nagoya,Cerveza,,,,,,,https://craftbeer.nagoya/,,,,35.181390,136.906390,,pendiente,no comprobado,,,1338,,,,,,
nabehachi-farm-yatomi,Nabehachi Farm,Yatomi,Pan y cereal,,愛知県弥富市鍋田町稲山393番地の15,,,+81567681367,,https://nabe8.co.jp/,,,,35.053295,136.757828,,pendiente,no comprobado,,,809,,,,,,
sawada-shuzo-tokoname,Sawada Shuzo,Tokoname,Sake,,愛知県常滑市古場町4丁目10,,,+81569354003,,http://www.hakurou.com/,,,,34.859005,136.859055,,pendiente,no comprobado,,,1060,,,,,,
kamisugi-shuzo-anjo,Kamisugi Shuzo,Anjo,Sake,,愛知県安城市明治本町20番5号,,,+81566752121,,http://www.kamisugi.co.jp/,,,,34.9602946,137.0924048,,pendiente,no comprobado,,,494,,,,,,
shibata-shuzojo-okazaki,Shibata Shuzojo,Okazaki,Sake,,愛知県岡崎市保久町神水39,,,+81564842007,,http://www.kounotsukasa.co.jp/,,,,35.0119258,137.3044846,,pendiente,no comprobado,,,1085,,,,,,
kaminoi-shuzo-nagoya,Kaminoi Shuzo,Nagoya,Sake,,愛知県名古屋市緑区大高町字高見25,,,+81526212008,,http://www.kaminoi.co.jp/,,,,35.067402,136.935272,,pendiente,no comprobado,,,492,,,,,,
kintora-shuzo-nagoya,Kintora Shuzo,Nagoya,Sake,,愛知県名古屋市北区山田３丁目１１−１６,,,+81529813960,,http://www.kintora.jp/,,,,35.19873,136.938965,,pendiente,no comprobado,,,587,,,,,,
aioi-unibio-nishio,Aioi Unibio,Nishio,Sake,,愛知県西尾市下町丸山5番地,,,+81569200355,,http://www.unibio.jp/,,,,34.874153,137.038956,,pendiente,no comprobado,,,27,,,,,,
aoki-shuzo-aisai,Aoki Shuzo,Aisai,Sake,,愛知県愛西市本部田町本西60,,,+81567310778,,http://www.yamahai.co.jp/,,,,35.137165,136.736465,,pendiente,no comprobado,,,59,,,,,,
iseya-shoten-toyohashi,Iseya Shoten,Toyohashi,Sake,,愛知県豊橋市花田町字斉藤49,,,+81532311175,,http://iseya-kouraku.sakura.ne.jp/,,,,34.766132,137.376633,,pendiente,no comprobado,,,422,,,,,,
urano-toyota,Urano,Toyota,Sake,,愛知県豊田市四郷町下古屋48,,,+81565450020,,http://www.kikuishi.com/,,,,35.127087,137.164764,,pendiente,no comprobado,,,1309,,,,,,
