slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
kakukyu-hatcho-miso-okazaki,Kakukyu Hatcho Miso,Okazaki,Condimentos,Hatcho miso,,,,,,https://www.kakukyu.jp/,,,,34.954720,137.173030,,parcial,no comprobado,,
y-market-brewing-nagoya,Y.Market Brewing,Nagoya,Cerveza,,,,,,,https://craftbeer.nagoya/,,,,35.181390,136.906390,,parcial,no comprobado,,
nabehachi-farm-yatomi,Nabehachi Farm,Yatomi,Pan y cereal,,愛知県弥富市鍋田町稲山393番地の15,,,+81567681367,,https://nabe8.co.jp/,,,,35.053295,136.757828,,parcial,no comprobado,,
sawada-shuzo-tokoname,Sawada Shuzo,Tokoname,Sake,,愛知県常滑市古場町4丁目10,,,+81569354003,,http://www.hakurou.com/,,,,34.859005,136.859055,,parcial,no comprobado,,
kamisugi-shuzo-anjo,Kamisugi Shuzo,Anjo,Sake,,愛知県安城市明治本町20番5号,,,+81566752121,,http://www.kamisugi.co.jp/,,,,34.9602946,137.0924048,,parcial,no comprobado,,
shibata-shuzojo-okazaki,Shibata Shuzojo,Okazaki,Sake,,愛知県岡崎市保久町神水39,,,+81564842007,,http://www.kounotsukasa.co.jp/,,,,35.0119258,137.3044846,,parcial,no comprobado,,
kaminoi-shuzo-nagoya,Kaminoi Shuzo,Nagoya,Sake,,愛知県名古屋市緑区大高町字高見25,,,+81526212008,,http://www.kaminoi.co.jp/,,,,35.067402,136.935272,,parcial,no comprobado,,
kintora-shuzo-nagoya,Kintora Shuzo,Nagoya,Sake,,愛知県名古屋市北区山田３丁目１１−１６,,,+81529813960,,http://www.kintora.jp/,,,,35.19873,136.938965,,parcial,no comprobado,,
aioi-unibio-nishio,Aioi Unibio,Nishio,Sake,,愛知県西尾市下町丸山5番地,,,+81569200355,,http://www.unibio.jp/,,,,34.874153,137.038956,,parcial,no comprobado,,
aoki-shuzo-aisai,Aoki Shuzo,Aisai,Sake,,愛知県愛西市本部田町本西60,,,+81567310778,,http://www.yamahai.co.jp/,,,,35.137165,136.736465,,parcial,no comprobado,,
iseya-shoten-toyohashi,Iseya Shoten,Toyohashi,Sake,,愛知県豊橋市花田町字斉藤49,,,+81532311175,,http://iseya-kouraku.sakura.ne.jp/,,,,34.766132,137.376633,,parcial,no comprobado,,
urano-toyota,Urano,Toyota,Sake,,愛知県豊田市四郷町下古屋48,,,+81565450020,,http://www.kikuishi.com/,,,,35.127087,137.164764,,parcial,no comprobado,,
kankyo-shuzo-kanie,Kankyo Shuzo,Kanie,Sake,,愛知県海部郡蟹江町城四丁目1番地,,,+81567953131,,http://www.kankyo-shuzo.co.jp/index.html,,,,35.131313,136.7901,,parcial,no comprobado,,
kiyosu-sakura-jozo-kiyosu,Kiyosu Sakura Jozo,Kiyosu,Sake,,愛知県清須市清洲1692,,,+81524092121,,http://www.onikoroshi.co.jp/,,,,35.212425,136.840286,,parcial,no comprobado,,
kinginka-shuzo-ichinomiya,Kinginka Shuzo,Ichinomiya,Sake,,愛知県一宮市今伊勢町馬寄字山之小路19,,,+81586733282,,http://www.kinginka.jp/,,,,35.328121,136.793579,,parcial,no comprobado,,
kunpeki-shuzo-konan,Kunpeki Shuzo,Konan,Sake,,愛知県江南市小折本町柳橋88,,,+81587562138,,http://www.kunpeki.co.jp/,,,,35.306931,136.879074,,parcial,no comprobado,,
koyumitsuru-shuzo-inuyama,Koyumitsuru Shuzo,Inuyama,Sake,,愛知県犬山市大字羽黒字成海郷70,,,+81568670033,,http://www.koyumitsuru.jp/,,,,35.346458,136.945496,,parcial,no comprobado,,
