slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
bear-swamp-orchard,Bear Swamp Orchard,Ashfield,Fruta y verdura,,"1209 B Hawley Rd, Ashfield, MA 01330",farm animals; Cider mill fresh apple cider made on the premises;,,,,,,,,42.55374623115816,-72.83248896376811,,parcial,no comprobado,,
c-n-smith-farm-inc,C.N. Smith Farm Inc.,East Bridgewater,Fruta y verdura,,"325 South Street, East Bridgewater, MA, USA","C.N. Smith Farm Inc. is a family owned and operated farm for over 80 years. We are carrying on the tradition of providing fresh, local fruit and produce. Pick your own, retail and wholesale fruits and vegetables, plants, flowers, and gardening supplies.",,,,,,,,42.0077298,-70.9424664,,parcial,no comprobado,,
hollis-hills-farm,Hollis Hills Farm,Fitchburg,Fruta y verdura,,"340 Marshall Road, Fitchburg, MA 01420",Farm stand; farm market; petting zoo;,,,,,,,,42.60107326442426,-71.77957473871278,,parcial,no comprobado,,
jamesons-high-meadow-farm,Jamesons High Meadow Farm,Chester,Huevos,,"410 Skyline Trail, Chester, Massachusetts 1011","Pick your own blueberries and apples. Beautiful, quiet location and simple, plain family time fun! Maple syrup and fresh eggs, hay and cordwood for sale.",,,,,,,,42.29833,-72.934729,,parcial,no comprobado,,
lexington-community-farm,Lexington Community Farm,Lexington,Huevos,,"52 Lowell Street, Lexington, MA, USA","LexFarm (Lexington Community Farm Coalition) began in May 2009 as a grassroots organization founded by neighbors concerned about the fate of the 7.9 acre Busa Farm upon its sale to the Town of Lexington. The town had initially chosen to use the land for soccer fields and affordable housing. But thanks to tremendous community involvement in Lexington and Arlington in support of LexFarm’s advocacy, in 2012, the Lexington Board of Selectmen decided most of the land would be dedicated to a community farm. The farm store offers fruit and vegetables grown on the property, as well as fruits, veggies, and other grocery items from local companies. The store is open year-round.",,,,,,,,42.4330736,-71.18850290000002,,parcial,no comprobado,,
mountain-road-flower-farm,Mountain Road Flower farm,Holyoke,Fruta y verdura,,"2 Mountain Rd, Holyoke, MA 01040",Farm stand; Farm market; Fresh cut flowers; Specializing in 14 different varieties of sunflowers;,,,,,,,,42.2200204628613,-72.65745722346821,,parcial,no comprobado,,
peters-family-orchard,Peters Family Orchard,Acushnet,Fruta y verdura,,"537 Main St, Acushnet, MA",Tractor rides; picnic; walking;,,,,,,,,41.70484275170827,-70.89218114078612,,parcial,no comprobado,,
second-drop-farm,Second Drop Farm,Lanesborough,Fruta y verdura,,"551 North Main Street, Lanesborough, MA 01237",Roadside stand; Farm stand; farm market; picnic area; birthday parties; weddings and wedding parties; school tours;,,,,,,,,42.536031916987156,-73.22999988367316,,parcial,no comprobado,,
stillman-farm,Stillman Farm,Lunenburg,Fruta y verdura,,"1399 Lancaster Avenue, Lunenburg, MA",Raspberries; strawberries;,,,,,,,,42.54282029464042,-71.70974066094949,,parcial,no comprobado,,
tree-house-brewing-company,Tree House Brewing Company,Charlton,Cerveza,,,,,,info@treehousebrew.com,https://treehousebrew.com/,http://www.facebook.com/2008/fbml,https://www.instagram.com/treehousebrewco,,39.6344,-77.89436,,parcial,no comprobado,,
trillium-brewing-company,Trillium Brewing Company,Canton,Cerveza,,,,,,,https://trilliumbrewing.com/,https://www.facebook.com/trilliumbrewing,https://www.instagram.com/trilliumbrewing/,,42.175737,-71.125385,,parcial,sí,ecommerce,
jack-s-abby-craft-lagers,Jack's Abby Craft Lagers,Framingham,Cerveza,,,,,+15088720900,jessica@jlapublicrelations.com,https://jacksabby.com/,https://www.facebook.com/jacksabbycraftlagers,https://www.instagram.com/jacksabbycraftlagers,,42.3079,-71.4362,,parcial,no comprobado,,
night-shift-brewing,Night Shift Brewing,Everett,Cerveza,,,,,+16172944468,info@nightshiftbrewing.com,https://nightshiftbrewing.com/,https://www.facebook.com/NightShiftBeer/,https://www.instagram.com/nightshiftbrewing/,,42.405938,-71.054649,,parcial,no comprobado,,
wormtown-brewery,Wormtown Brewery,Worcester,Cerveza,,,,,+17742391555,,https://wormtownbrewery.com/,https://www.facebook.com/WormtownBreweryWorcester/,http://instagram.com/wormtownbrewery,,42.269478,-71.807783,,parcial,no comprobado,,
lamplighter-brewing-co,Lamplighter Brewing Co.,Cambridge,Cerveza,,,,,,,https://lamplighterbrewing.com/,https://www.facebook.com/lamplighterbrewing,https://www.instagram.com/lamplighterbrew/,,42.376043,-71.118680,,parcial,sí,ecommerce,
high-lawn-farm,High Lawn Farm,Lee,Lácteos y quesos,,,,,,mail@highlawnfarm.com,https://highlawnfarm.com/,http://www.facebook.com/2008/fbml,http://instagram.com/highlawnfarm,,42.306836,-73.250736,,parcial,no comprobado,,
great-hill-blue,Great Hill Blue,Marion,Lácteos y quesos,,,,,,,https://greathillblue.com/,https://www.facebook.com/Great-Hill-Blue-336592389751940/,,,41.706839,-70.750958,,parcial,sí,ecommerce,
cricket-creek-farm,Cricket Creek Farm,Williamstown,Lácteos y quesos,,,,,,,https://cricketcreekfarm.com/,https://www.facebook.com/cricketcreekfarm,https://www.instagram.com/cricketcreekfarm/,,42.708906,-73.201361,,parcial,no comprobado,,
george-howell-coffee,George Howell Coffee,Acton,Café,,,,,,,https://georgehowellcoffee.com/,https://www.facebook.com/GHowellCoffee/,https://www.instagram.com/ghowellcoffee/,,42.483953,-71.438495,,pendiente,sí,ecommerce,
barrington-coffee-roasting-company,Barrington Coffee Roasting Company,Lee,Café,,,,,+14132433008,coffee@barringtoncoffee.com,https://barringtoncoffee.com/,,,,42.306836,-73.250736,,parcial,sí,ecommerce,
broadsheet-coffee-roasters,Broadsheet Coffee Roasters,Cambridge,Café,,,,,,hi@broadsheetcoffee.com,https://broadsheetcoffee.com/,,https://www.instagram.com/broadsheetcoffee/?hl=en,,42.376043,-71.118680,,parcial,sí,ecommerce,
atomic-coffee-roasters,Atomic Coffee Roasters,Beverly,Café,,,,,+19789100489,hello@atomicroastery.com,https://atomicroastery.com/,https://www.facebook.com/atomicoffeeroasters/,https://www.instagram.com/atomicoffeeroasters/,,42.556659,-70.844960,,pendiente,sí,ecommerce,
island-creek-oysters,Island Creek Oysters,Duxbury,Pescado,,,,,,,https://islandcreekoysters.com,http://www.facebook.com/pages/Island-Creek-Oysters/42775235778,https://www.instagram.com/islandcreekoysters/,,42.04435,-70.67924,,parcial,sí,ecommerce,
