slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
verger-du-colombier,Verger du Colombier,Suzanne,Fruta y verdura,Fruits et légumes,"NOYON Martin, 80340 SUZANNE","An organic producer in Suzanne, offering Fruits et légumes under the Verger du Colombier identity.",,+33322761066,verger-du-colombier.80@orange.fr,,https://www.facebook.com/vergerducolombier/,,https://www.google.com/maps/search/?api=1&query=49.9527579120876%2C2.765984718475282&query_place_id=ChIJleEc5Un450cRAFcZ1pb6Dig,49.9527579120876,2.765984718475282,,verificado,no comprobado,,,1735,en,,,,,
le-jardin-d-arlette,Le Jardin d'Arlette,Quiry-le-Sec,Legumbres y cereales,Céréales et légumineuses,"3 RUE DE LA VILLE, 80250 Quiry-le-Sec","An organic producer in Quiry-le-Sec, offering Céréales et légumineuses under the Le Jardin d'Arlette identity.",,+33614963529,jf@steinmann.fr,https://www.lejardindarlette.fr,,,https://www.google.com/maps/search/?api=1&query=49.67147%2C2.382268&query_place_id=ChIJ28SPb86X50cRteQX29bWeN8,49.67147,2.382268,,verificado,no comprobado,,,1433,en,,,,,
chevrerie-des-farfadets,La Chèvrerie des Farfadets,Belleuse,Lácteos y quesos,"Farfadet frais, Belleusienne, Lutinade et Tom-Troll","19 Rue Madame, 80160 Belleuse","Manuela Cadix and Olivier Forestier raise Alpine goats and transform all their milk on the farm into fresh, matured and flavored cheeses.",,+33609241102,earlforestiercadix@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=La%20Ch%C3%A8vrerie%20des%20Farfadets%2C%2019%20Rue%20Madame%2C%2080160%20Belleuse&query_place_id=ChIJlWVPaAB150cReSyAaUYoUmM,49.704081,2.118478,,verificado,no comprobado,,,1261,en,,,,,
chevrerie-de-canaples,Chèvrerie de Canaples,Canaples,Lácteos y quesos,"Bicottin, tomme, yaourts, faisselle et lait de chèvre","172 Rue de Fieffes, 80670 Canaples","Aurélie and Matthieu Vandenbussche transform all the milk from their goat herd into raw-milk Bicottin cheeses, tomme and fresh dairy products.",Mié 14:00-19:00,+33613113923,chevrerie.canaples@orange.fr,https://www.chevrerie-canaples.com/,,,https://www.google.com/maps/search/?api=1&query=Ch%C3%A8vrerie%20de%20Canaples%2C%20172%20Rue%20de%20Fieffes%2C%2080670%20Canaples&query_place_id=ChIJEX3DYyt53UcRBON8_15aOuM,50.057753,2.217697,,verificado,sí,telefono,,367,en,,,,,
douceur-de-lait,Douceur de lait,Éplessier,Lácteos y quesos,"Le p'AVET, tommes, Pont Neuf, Plessis, yaourts et beurre","24 Rue Principale, 80290 Éplessier","The Avet family transforms milk from its Prim'Holstein herd into farmhouse cheeses, yogurts, butter, cream and desserts sold under the Douceur de lait identity.",Mié 10:00-12:30; Vie 15:00-19:30,+33678993289,yannick.avet@orange.fr,,https://www.facebook.com/douceurdelait/,,https://www.google.com/maps/search/?api=1&query=Douceur%20de%20lait%2C%2024%20Rue%20Principale%2C%2080290%20%C3%89plessier&query_place_id=ChIJy97roDhu50cRyKyzIrrTJrY,49.783275,1.959996,,verificado,no comprobado,,,675,en,,,,,
ferme-de-canelle,La Ferme de Canelle,Équancourt,Lácteos y quesos,"Crottins frais, affinés et aromatisés, tomme de chèvre et de vache","21 Grande Rue, 80360 Équancourt","Sandrine Tardieux raises a small dairy-goat herd and naturally transforms its milk into crottins and tomme, supplemented by cow's-milk cheeses.",Lun-Vie 16:00-19:00,+33650844409,cannele.eglantine@gmail.com,,,,,50.036423,3.018916,,parcial,no comprobado,,,1291,en,,,,,
ferme-potel,Ferme Potel,Marchélepot-Misery,Lácteos y quesos,"Rollot fermier, fromage blanc, beurre et crème fraîche","10 Rue de l'Église, 80200 Marchélepot-Misery","The Potel family transforms milk from its dairy herd into the traditional Picardy Rollot, fresh cheese, butter and cream, and also sells beef from the farm.",Lun-Sáb 09:00-12:00,+33322839407,gabinpotel@hotmail.fr,,https://www.facebook.com/PotelGabin,,https://www.google.com/maps/search/?api=1&query=Ferme%20Potel%2C%2010%20Rue%20de%20l%27%C3%89glise%2C%2080200%20March%C3%A9lepot-Misery&query_place_id=ChIJI_ME4Nj850cRWzbspJDrDT0,49.833427,2.866898,,verificado,no comprobado,,Carne,954,en,,,,,
laiterie-de-la-baie,La Laiterie de la Baie,Ponthoile,Lácteos y quesos,"Romain, Ponticuli, tomme, faisselle, beurre, yaourts et crème","32 Rue du Marais de Neuville, 80860 Ponthoile",The Fromentin family transforms warm milk from its own cows into a broad range of farmhouse cheeses and fresh dairy products at the Romaine hamlet workshop.,Mié 15:30-17:00; Sáb 09:30-12:00,+33608026586,laiteriedelabaie@orange.fr,https://la-laiterie-de-la-baie-80.cobeia.com/,https://www.facebook.com/lalaiteriedelabaie,,https://www.google.com/maps/search/?api=1&query=La%20Laiterie%20de%20la%20Baie%2C%2032%20Rue%20du%20Marais%20de%20Neuville%2C%2080860%20Ponthoile&query_place_id=ChIJV7TM6cPu3UcR7poiQm9elPI,50.2366,1.70551,,verificado,sí,marketplace,,1361,en,,,,,
chevrerie-du-moulin-de-prouville,Chèvrerie du Moulin de Prouville,Prouville,Lácteos y quesos,"Fromages de chèvre frais et affinés, tomme, yaourts et faisselle","3 Route d'Auxi, 80370 Prouville","Xavier Philippe's organic goat farm transforms its milk into a wide range of raw-milk cheeses, tomme, yogurts and faisselle.",Sáb 10:00-12:30,+33642103801,chevreriedumoulin80@gmail.com,https://www.chevreriedumoulin.com/,,,https://www.google.com/maps/search/?api=1&query=Ch%C3%A8vrerie%20du%20Moulin%20de%20Prouville%2C%203%20Route%20d%27Auxi%2C%2080370%20Prouville&query_place_id=ChIJxTaYGTiD3UcRvaJdrIlhrvQ,50.151984,2.127696,,verificado,no comprobado,,,390,en,,,,,
fermogout,FermOgoût,Saint-Fuscien,Lácteos y quesos,"Saint-Fuscien, tommes, raclette, yaourts et desserts lactés","16 Hameau du Petit Cagny, 80680 Saint-Fuscien","Brothers Grégoire and Thomas Leleu transform milk from their mixed dairy herd into the Saint-Fuscien cheese, tommes, raclette, yogurts and fresh desserts.",,+33683307923,fermogout@gmail.com,https://fermogout.fr/,,,https://www.google.com/maps/search/?api=1&query=FermOgo%C3%BBt%2C%2016%20Hameau%20du%20Petit%20Cagny%2C%2080680%20Saint-Fuscien&query_place_id=ChIJceEl0fmF50cRvpi5gLKQwns,49.834638,2.299522,,verificado,no comprobado,,,965,en,,,,,
