slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
acacia-mountain-tulis,Acacia Mountain Tulis,Tarkastad,Otros,,Loskop,,,+27823202863,info@petbirdsa.com,,https://www.facebook.com/1850035728412841,,,-31.8507318,26.0554504,,parcial,no comprobado,,,12,
cloverfields-cradock,Cloverfields Cradock,Cradock,Otros,,N10,,,+27735441494,,,https://www.facebook.com/653867024728362,,,-32.1655882,25.615971,,parcial,no comprobado,,,189,
daybreaker-beefmasters,Daybreaker Beefmasters,Queenstown,Otros,,Fordyce farm,,,+27836688952,,,https://www.facebook.com/106637130005354,,,-31.9772111,26.7067337,,parcial,no comprobado,,,227,
dharmapoultryfarm,DharmaPoultryfarm,Komani,Lácteos y quesos,leche y productos lácteos,62 Grey St,,,+27782086290,,,https://www.facebook.com/101783811564534,,,-31.8971,26.88481,,parcial,no comprobado,,,245,
emarikeni-bakery,Emarikeni Bakery,Cradock,Pan y cereal,pan y productos de cereal,12 Voortrekker St,,,+27793624585,,,https://www.facebook.com/108559848161830,,,-32.1705469,25.6190606,,parcial,no comprobado,,,302,
fairworld-finewool-merinos,Fairworld Finewool Merinos,Cradock,Otros,,n10,,,,acton@bosberg.co.za,http://www.fynwol.co.za/,https://www.facebook.com/2033747013527345,,,-31.9204955,25.3859067,,parcial,no comprobado,,,323,
geluk-farm,GELUK FARM,Middelburg,Otros,,r398,,,+27636979895,gelukgamefarm@mail.com,http://www.diclaprojects.com/,https://www.facebook.com/125812711320569,,,-31.511418,24.95752,,parcial,no comprobado,,,359,
klipfontein-farm-house,Klipfontein Farm House,Molteno,Otros,,Collingham Farm,,,+27726371749,madelenempienaar@gmail.com,https://book.nightsbridge.com/32165?nbid=337,https://www.facebook.com/1148911361817014,,,-31.4,26.3667,,parcial,no comprobado,,,471,
likka-land-and-langside-grassfed-meats-no-livestock-sales-just-meat-and-drinks,"Likka Land and LANGSIDE Grassfed Meats (NO Livestock sales, Just Meat and Drinks))",Komani,Carne,,130 Cathcart Rd,,,+27716586101,koot@langsidemeats.co.za,http://www.langsidemeats.co.za/,https://www.facebook.com/282449788925231,,,-31.8946587,26.866716,,parcial,no comprobado,,,516,
m-m-farming,M&M Farming,Engcobo,Otros,,233 Power Station Road,,,+27475481060,,,https://www.facebook.com/747984168581294,,,-31.680566,28.010855,,parcial,no comprobado,,,539,
pocket-of-sweets,Pocket of Sweets,Molteno,Pan y cereal,pan y productos de cereal,,,,+27607354701,,,https://www.facebook.com/459200304142049,,,-31.3970569,26.361451,,parcial,no comprobado,,,711,
poppie-s-bakery,Poppie's Bakery,Cradock,Pan y cereal,pan y productos de cereal,92 Cawood St,,,+27828734977,,,https://www.facebook.com/990099754527570,,,-32.16389,25.62005,,parcial,no comprobado,,,713,
prissy-lane-cakes-catering,Prissy Lane Cakes & Catering,Komani,Pan y cereal,pan y productos de cereal,4 Green St,,,+27825607296,,,https://www.facebook.com/201239663640267,,,-31.89601,26.86408,,parcial,no comprobado,,,721,
spekboomberg-boerdery-cradock-eastern-cape,"SPEKBOOMBERG BOERDERY CRADOCK, Eastern Cape",Cradock,Otros,,Spekboomberg Farm,,,+27488812728,,,https://www.facebook.com/1139889546138520,,,-32.1544481,25.6208045,,parcial,no comprobado,,,845,
star-bakery,Star Bakery,Komani,Pan y cereal,pan y productos de cereal,7 Owen St,,,+27458384146,,,https://www.facebook.com/242706119536397,,,-31.898135,26.872384,,parcial,no comprobado,,,850,
sustainable-me,Sustainable Me,Cradock,Otros,,,,,+27832865222,traceymichau@gmail.com,,https://www.facebook.com/934746643230361,,,-32.1964111,25.6089001,,parcial,no comprobado,,,872,
sweet-treats,Sweet treats.,Komani,Pan y cereal,pan y productos de cereal,61 Oleander St,,,+27825607381,ashybenjamin123@icloud.com,,https://www.facebook.com/1011930375342055,,,-31.91963,26.86004,,parcial,no comprobado,,,877,
united-national-breweries-komani,United National Breweries,Komani,Cerveza,,9 Pope St,,,+27458381336,,,https://www.facebook.com/1705961773018884,,,-31.9036235,26.8782581,,parcial,no comprobado,,,952,
welvanpas-plaas,Welvanpas Plaas,Middelburg,Otros,,Welvanpas Farm N10,,,+27781400651,livestock@workmail.com,,https://www.facebook.com/105084664337279,,,-31.5099157,25.017924,,parcial,no comprobado,,,988,
zminathi-cakes-general-trading,ZmiNathi cakes & general trading,Komani,Pan y cereal,pan y productos de cereal,50 Prince Alfred St,,,+27721069463,,,https://www.facebook.com/107690094875678,,,-31.9287717,26.773588,,parcial,no comprobado,,,1034,
