slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online
barahonda-yecla,Barahonda,Yecla,Bodega,vino DO Yecla y monastrell,"Ctra. de Pinoso, km 3, Yecla",Barahonda es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968718696,info@barahonda.com,https://www.barahonda.com/,,https://www.instagram.com/bodegabarahonda/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Barahonda%2C%20Carretera%20Pinoso%2C%20Km%203%2C%2030510%2C%20Carretera%20de%20Pinoso%2C%20Km%203%2C%2030510%20Yecla%2C%20Murcia&query_place_id=ChIJPUQoAev8Yw0R4rXgnGR8hIY,38.5869170,-1.0807682,/productores/murcia/murcia/barahonda-yecla.webp,parcial,sí
bodega-balcona-bullas,Bodega Balcona,Bullas,Bodega,vino DO Bullas,"Ctra. Avilés, Paraje Aceniche, Bullas",Bodega Balcona es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968652251,bodega@balcona.com,https://www.bodegabalcona.com/,,https://www.instagram.com/bodegabalcona/,https://www.google.com/maps/search/?api=1&query=Bodega%20Balcona%2C%20Ctra%20Aviles%2C%20Paraje%20Aceniche%2C%2030180%20Bullas%2C%20Murcia&query_place_id=ChIJUZittTNWZA0RxoUChllJSg8,37.9794350,-1.7187170,/productores/murcia/murcia/bodega-balcona-bullas.webp,parcial,sí
bodega-madrid-romero-torre-pacheco,Bodega Madrid Romero,Torre Pacheco,Bodega,vino de finca y enoturismo,"Finca Los Triviños, 1, Balsicas, Torre Pacheco",Bodega Madrid Romero es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968031086,info@madridromero.com,https://www.bodegamadridromero.com/,,https://www.instagram.com/bodegamadridromero/,https://www.google.com/maps/search/?api=1&query=Bodega%20Madrid%20Romero%2C%20Los%20Infiernos%2C%20Finca%20Los%20Trivi%C3%B1os%2C%201%2C%2030591%20Balsicas%2C%20Murcia&query_place_id=ChIJdV-rQOMPZA0RHZA3ForBVok,37.8250756,-0.9197078,/productores/murcia/murcia/bodega-madrid-romero-torre-pacheco.webp,parcial,no
bodegas-castano-yecla,Bodegas Castaño,Yecla,Bodega,vino DO Yecla,"Avda. Fuente Álamo, 3, Yecla",Bodegas Castaño es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968791115,info@bodegascastano.com,https://www.bodegascastano.com/,,https://www.instagram.com/bodegascastano/,https://www.google.com/maps/search/?api=1&query=BODEGAS%20CASTA%C3%91O%2C%20Av.%20Fuente%20%C3%81lamo%2C%203%2C%2030510%20Yecla%2C%20Murcia&query_place_id=ChIJ17MKNdr9Yw0RZ1OakJlKPGs,38.6182094,-1.1294243,/productores/murcia/murcia/bodegas-castano-yecla.webp,parcial,sí
bodegas-luzon-jumilla,Bodegas Luzón,Jumilla,Bodega,vino DO Jumilla,"Ctra. Jumilla-Calasparra, km 3.1, Jumilla",Bodegas Luzón es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968784135,bodegas@bodegasluzon.com,https://www.bodegasluzon.com/,,https://www.instagram.com/bodegasluzon/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Luz%C3%B3n%2C%20Carretera%2C%20RM-714%2C%20Km%203.1%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJZaox_ocFZA0RsFKl574lgCc,38.4471679,-1.3409430,/productores/murcia/murcia/bodegas-luzon-jumilla.webp,parcial,sí
bodegas-silvano-garcia-jumilla,Bodegas Silvano García,Jumilla,Bodega,vino DO Jumilla y dulce monastrell,"Avda. de Murcia, 29, Jumilla",Bodegas Silvano García es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968781143,info@bodegasilvanogarcia.com,https://silvanogarcia.com/,,https://www.instagram.com/bodegasilvanogarcia/,https://www.google.com/maps/search/?api=1&query=SILVANO%20GARC%C3%8DA%20-%20BODEGA%20URBANA%2C%20Av.%20de%20Murcia%2C%2029%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJLyBl4nwPZA0RhHRpUfAzPo8,38.4749363,-1.3195716,/productores/murcia/murcia/bodegas-silvano-garcia-jumilla.webp,parcial,sí
bodegas-vina-elena-jumilla,Bodegas Viña Elena,Jumilla,Bodega,vino DO Jumilla,"Ctra. N-344, km 52.7, Jumilla",Bodegas Viña Elena es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968781115,info@vinaelena.com,https://www.vinaelena.com/,,https://www.instagram.com/vinaelena/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Vi%C3%B1a%20Elena%2C%20Paraje%20Estrecho%20de%20Mar%C3%ADn%2C%20N-344%2C%20Km%2052%2C5%2C%2030520%20Jumilla%2C%20Murcia%2C%20Murcia&query_place_id=ChIJHf8P1aQLZA0RIqs5O7MDtJM,38.3623530,-1.2627400,/productores/murcia/murcia/bodegas-vina-elena-jumilla.webp,parcial,no
bodegas-juan-gil-jumilla,Bodegas Juan Gil,Jumilla,Bodega,vino de monastrell,"Paraje de La Aragona, Jumilla",Bodegas Juan Gil es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,,,https://gilfamily.es/,,https://www.instagram.com/bodegasjuangil/,https://www.google.com/maps/search/?api=1&query=Bodegas%20Hijos%20de%20Juan%20Gil%2C%20Paraje%20de%20la%20Aragona%2C%20Carretera%20de%20Fuente%20Alamo%2C%20S%2FN%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJcbb-zHgPZA0RQHR1MQ-L5DY,38.5631880,-1.3503140,/productores/murcia/murcia/bodegas-juan-gil-jumilla.webp,parcial,sí
bsi-bodegas-san-isidro-jumilla,BSI Bodegas San Isidro,Jumilla,Bodega,vino cooperativo DO Jumilla,"Ctra. Murcia, s/n, Jumilla",BSI Bodegas San Isidro es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,+34968780700,bsi@bsi.es,https://bsi.es/,,https://www.instagram.com/bodegassanisidro/,https://www.google.com/maps/search/?api=1&query=Bodegas%20BSI%2C%20Ctra.%20Murcia%2C%20s%2Fn%2C%2030520%20Jumilla%2C%20Murcia&query_place_id=ChIJ9QAk-GYPZA0RMKJvF8Vc368,38.4695564,-1.3112229,/productores/murcia/murcia/bsi-bodegas-san-isidro-jumilla.webp,parcial,sí
hacienda-del-carche-jumilla,Hacienda del Carche,Jumilla,Bodega,vino de finca DO Jumilla,"Paraje de la Raja, Jumilla",Hacienda del Carche es una bodega de la Región de Murcia vinculada a vinos locales y denominaciones de origen murcianas.,,,,https://haciendadelcarche.com/,,https://www.instagram.com/haciendadelcarche/,,,,,parcial,sí
