slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
edradour-distillery,Edradour Distillery,Pitlochry,Destilados y licores,Highland single malt whisky,"Edradour Distillery, Pitlochry, Perthshire PH16 5JP","Small Highland distillery at Milton of Edradour, near Pitlochry, working on a farm scale.",,,edradour1825@me.com,https://www.edradour.com/,,,,56.701589,-3.702419,,parcial,sí,ecommerce,,206,en
gloagburn-farm-butchery,Gloagburn Farm Butchery,Perth,Carne,farm beef and butchered meat,"Gloagburn Farm, Tibbermore, Perth, PH1 1QL",Third-generation farm shop with an in-house butchery at Gloagburn Farm.,,+441738840864,office@gloagburn.co.uk,https://www.gloagburn.co.uk/,,,,56.393451,-3.557038,,verificado,sí,ecommerce,,264,en
cullach-brewing,Cullach Brewing,Perth,Cerveza,craft beer,"50 Princes Street, Perth, PH2 8LJ",Independent Perth brewery and taproom producing cask and canned beer.,,,enquiries@cullachbrewing.co.uk,https://www.cullachbrewing.co.uk/,,,,56.393494,-3.428085,,parcial,no comprobado,,,151,en
heather-hills-farm,Heather Hills Farm,Blairgowrie,Miel,Scottish heather and blossom honey,"Heather Hills Honey Farm, Bridge of Cally, Blairgowrie, PH10 7JG",Perthshire bee farm producing speciality Scottish honey and preserves.,,+441250886252,info@heatherhills.co.uk,https://www.heatherhills.co.uk/,,,,56.646755,-3.407378,,verificado,sí,ecommerce,Conservas,299,en
persie-distillery,Persie Distillery,Bridge of Cally,Destilados y licores,small-batch gin and vodka,"Persie Distillery at Auchenflower, Old Military Road, Bridge of Cally, PH10 7LQ",Independent distillery handcrafting and bottling spirits in Highland Perthshire.,,+441250886798,snifter@persiedistillery.com,https://www.persiedistillery.com/,,,,56.676692,-3.410584,,verificado,sí,ecommerce,,508,en
stewart-tower-dairy,Stewart Tower Dairy,Stanley,Helados,farm-made dairy ice cream,"Stewart Tower Farm, Airntully, Stanley, Perth, PH1 4PJ",Farm dairy making gelato-style ice cream from its own fresh milk.,,+441738710044,enquiries@stewarttowerdairy.co.uk,https://stewart-tower.co.uk/,,,,56.508613,-3.478576,,verificado,sí,ecommerce,,616,en
tullibardine-distillery,Tullibardine Distillery,Blackford,Destilados y licores,Highland single malt whisky,"Tullibardine Distillery, Stirling Street, Blackford, PH4 1QG",Working Highland distillery managing whisky production and bottling on site.,,+441764661809,shop.admin@tullibardine.com,https://www.tullibardine.com/,,,,56.259149,-3.782584,,verificado,sí,ecommerce,,702,en
dewars-aberfeldy-distillery,Dewar's Aberfeldy Distillery,Aberfeldy,Destilados y licores,Aberfeldy single malt whisky,"Dewar's Aberfeldy Distillery, Aberfeldy, Perthshire, PH15 2EB",Working Perthshire distillery producing Aberfeldy single malt whisky.,,+441887822010,aberfeldydistillery@dewars.com,https://www.dewars.com/visit-us/,,,,56.625068,-3.850516,,verificado,sí,ecommerce,,176,en
blair-athol-distillery,Blair Athol Distillery,Pitlochry,Destilados y licores,Highland single malt whisky,"Blair Athol Distillery, Perth Road, Pitlochry, PH16 5LY",Working Pitlochry distillery producing Blair Athol single malt whisky.,,+441796482003,blair.athol@malts.com,https://www.malts.com/en-gb/blair-athol/visit,,,,56.697665,-3.718589,,verificado,no comprobado,,,68,en
aberargie-distillery,Aberargie Distillery,Aberargie,Destilados y licores,single malt Scotch whisky,"Kincardine House, Reed Road, Aberargie, PH2 9LX",Family-owned barley-to-bottle distillery using grain from its Perthshire farm.,,+441738787044,info@morrisondistillers.com,https://aberargie.com/,,,,56.329425,-3.345878,,verificado,no comprobado,,,6,en
loch-leven-brewery,Loch Leven Brewery,Kinross,Cerveza,small-batch craft beer,"The Muirs, Kinross, KY13 8AS",Independent Kinross brewery making small-batch cask and bottled beers.,,+441577666996,taproom@lochleven.beer,https://lochlevenbrewery.myshopify.com/,,,,56.209906,-3.424331,,verificado,sí,ecommerce,,404,en
dunkeld-smoked-salmon,Dunkeld Smoked Salmon,Dunkeld,Pescado,fish,"Springwells, Dunkeld, PH8 0JR",Small artisan smokehouse near the River Tay curing fish by hand over whisky barrel chips.,,+441350727639,info@dunkeldsmokedsalmon.com,https://dunkeldsmokedsalmon.com,,,,56.561316,-3.601339,,verificado,no comprobado,,,196,en
