slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
adnams,Adnams,Southwold,Cerveza,Ghost Ship,"East Green, Southwold, Suffolk IP18 6JW","Brewery and distillery in Southwold, brewing beer and distilling spirits on the coast.",,,,https://adnams.co.uk/,https://www.facebook.com/adnams,https://www.instagram.com/adnams,,52.327356,1.679735,,parcial,sí,ecommerce,Destilados y licores
powters,Powters,Newmarket,Carne,Newmarket sausage,"8 Wellington Street, Newmarket, Suffolk CB8 0HT","Butcher and sausage maker in Newmarket, hand-blending and making its sausages on site.",,,,https://powters.co.uk/,https://www.facebook.com/powterssausages,https://www.instagram.com/powterssausages,,52.244209,0.404391,,parcial,sí,ecommerce,
fishers-gin-distillery,Fishers Gin Distillery,Aldeburgh,Destilados y licores,gin,"Beach Lodge, Brudenell Street, Aldeburgh, Suffolk, IP15 5BT",Fishers Gin Distillery produces gin at its Aldeburgh site.,,+441728454201,info@fishersgin.com,https://fishersgin.com/,,,,52.14928,1.601373,,verificado,no comprobado,,
shawsgate-vineyard,Shawsgate Vineyard,Framlingham,Vino,wine,"Framlingham Road, Badingham, Suffolk, IP13 9HZ",Shawsgate Vineyard produces wine at its Framlingham site.,,,,https://www.shawsgate.co.uk/,,,,52.233632,1.362286,,verificado,no comprobado,,
fen-farm-dairy,Fen Farm Dairy,Bungay,Lácteos y quesos,"Baron Bigod, Raedwald, Bungay Butter, yoghurt, raw milk","Fen Farm, Flixton Road, Bungay, Suffolk, NR35 1PD","Dairy farm making cheese, butter and cultured dairy products from its own milk.",,+441986892350,hello@fenfarmdairy.co.uk,https://fenfarmdairy.co.uk/,,,,52.443304,1.430268,,verificado,sí,ecommerce,
suffolk-farmhouse-cheeses,Suffolk Farmhouse Cheeses,Creeting St Mary,Lácteos y quesos,"Suffolk Blue, Suffolk Gold, Suffolk Brie, Suffolk Blue-Brie","Whitegate Farm, Norwich Road, Creeting St Mary, Suffolk, IP6 8PG","Family dairy making farmhouse cheeses and other dairy products from its own Guernsey and Jersey herd; the farm also rears its own beef, pork and lamb.",,+441449710458,enquiries@suffolkcheese.co.uk,https://www.suffolkcheese.co.uk/,,,,52.172575,1.100893,,verificado,no comprobado,,Carne
roughacre-brewery,Roughacre Brewery,Clare,Cerveza,"cask ales and bottled ales","Clare Hall Barns, Cavendish Road, Clare, Suffolk, CO10 8PJ","Small independent brewery producing cask and bottled ales at its Clare taproom and shop.",Fri-Sat 12:00-21:00; Sun 12:00-18:00,+447801930091,brewery@roughacre.com,https://roughacre.com/,,,,52.07974,0.590042,,verificado,sí,email|telefono,
maynard-house-orchards,Maynard House Orchards,Bradfield Combust,Bebidas sin alcohol,"single-variety and blended apple juices","The Orchards, The Street, Bradfield Combust, Suffolk, IP30 0LP","Family orchard growing apples and pressing a range of single-variety and blended juices on its Suffolk farm.",,+441284388680,,https://www.maynardhouse.co.uk/,,,,52.185523,0.765126,,verificado,sí,ecommerce,
marimba-world-chocolate,Marimba World Chocolate,Bury St Edmunds,Chocolate,"handmade chocolates, truffles and hot chocolate melts","Unit 6, Coppice End, Northern Way, Bury St Edmunds, Suffolk, IP32 6NL","Suffolk chocolatier making small-batch chocolates, truffles and hot-chocolate flakes at its Bury St Edmunds unit.",,+441279714527,,https://www.marimbaworld.com/,,,,52.266257,0.698971,,verificado,sí,ecommerce,
greene-king-brewery,Greene King Brewery,Bury St Edmunds,Cerveza,"Greene King IPA, Abbot Ale, Old Speckled Hen","Westgate Brewery, Westgate Street, Bury St Edmunds, Suffolk, IP33 1QT","Historic working brewery producing cask and craft beers with traditional methods at its Bury St Edmunds brewhouse.",,+441284763222,beercafe@greeneking.co.uk,https://www.greeneking.co.uk/our-beers/our-breweries/westgate-brewery,,,,52.240941,0.717416,,verificado,no comprobado,,
turnstone-ales,Turnstone Ales,Wingfield,Cerveza,,"The Old Post Office, Vicarage Road, Wingfield, DISS, IP21 5RB",Brewery producing beer at its Wingfield unit.,,,,,,https://www.instagram.com/turnstoneales,,52.347,1.271,,parcial,no comprobado,,
