slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
naruto-shuzo-naruto,Naruto Shuzo,Naruto,Sake,,徳島県鳴門市撫養町大桑島濘岩１１,,,+81886862002,,,,,,34.185875,134.609039,,parcial,no comprobado,,
tsukasagiku-shuzo-mima,Tsukasagiku Shuzo,Mima,Sake,,徳島県美馬市美馬町字妙見93,,,+81883636061,,http://www.tsukasagiku.co.jp/,,,,34.077938,134.039108,,parcial,no comprobado,,
tsunomine-shuzo-anan,Tsunomine Shuzo,Anan,Sake,,徳島県阿南市長生町諏訪ノ端11,,,+81884220606,,http://www.tsunomine.com/,,,,33.907452,134.617416,,parcial,no comprobado,,
chikakiyo-shuzo-anan,Chikakiyo Shuzo,Anan,Sake,,徳島県阿南市山口町森国103-1,,,+81884260053,,http://www.ca.pikara.ne.jp/irizuru/,,,,33.871033,134.583786,,parcial,no comprobado,,
naka-shuzo-naka,Naka Shuzo,Naka,Sake,,徳島県那賀郡郡那賀町和食町35,,,+81884622003,,http://wwwd.pikara.ne.jp/asahiwakamatu/profile1.html,,,,33.85899,134.499344,,parcial,no comprobado,,
agawa-shuzo-tsurugi,Agawa Shuzo,Tsurugi,Sake,,徳島県美馬郡つるぎ町貞光字町11,,,+81883622011,,,,,,34.035683,134.062363,,parcial,no comprobado,,
karakuchi-shuzo-higashimiyoshi,Karakuchi Shuzo,Higashimiyoshi,Sake,,徳島県三好郡東みよし町加茂2987,,,+81883822008,,,,,,34.026123,133.917343,,parcial,no comprobado,,
chuwa-shoten-miyoshi,Chuwa Shoten,Miyoshi,Sake,,徳島県三好市池田町サラダ1756,,,+81883720126,,http://www.niji.or.jp/komachi/,,,,34.027992,133.810287,,parcial,no comprobado,,
kondo-matsutaro-shoten-tokushima,Kondo Matsutaro Shoten,Tokushima,Sake,,徳島県徳島市国府町中297-1,,,+81886420001,,,,,,34.068123,134.4776,,parcial,no comprobado,,
saito-shuzojo-tokushima,Saito Shuzojo,Tokushima,Sake,,徳島県徳島市佐古七番町7-1,,,+81886528340,,,,,,34.078342,134.524109,,parcial,no comprobado,,
seitama-tokushima,Seitama,Tokushima,Sake,,徳島県徳島市福島1-4-9,,,+81886232777,,http://seigyokushuzo-sakagura.co.jp/,,,,34.071934,134.562943,,parcial,no comprobado,,
sadasaku-shurui-jozojo-katsuura,Sadasaku Shurui Jozojo,Katsuura,Sake,,徳島県勝浦郡勝浦町三渓字定岡89-2,,,+81885422052,,,,,,33.941608,134.488937,,parcial,no comprobado,,
nisshin-shurui-taiko-awa,Nisshin Shurui (Taiko),Awa,Sake,,徳島県阿波市土成町郡176,,,+81886953238,,http://www.nissin-shurui.co.jp/,,,,34.092316,134.333954,,parcial,no comprobado,,
ise-shuzo-yoshinogawa,Ise Shuzo,Yoshinogawa,Sake,,徳島県麻植郡山川町宮北41,,,+81883423106,,,,,,34.06633,134.35861,,parcial,no comprobado,,
nakatown-naka,NAKATOWN,Naka,Té e infusiones,,,Grows and processes tea at its Naka unit.,,,,https://nakatown.shop/,,,,33.857420,134.496640,,verificado,sí,ecommerce,
maebara-farm-kamikatsu,まえばら農園,Kamikatsu,Té e infusiones,,,Grows and processes tea at its Kamikatsu unit.,,,,https://maebara-farm.jp/,,,,33.889140,134.402080,,verificado,sí,ecommerce,
wasanbon-kamiita,岡田製糖所,Kamiita,Dulces y repostería,,,Produces traditional confectionery at its Kamiita unit.,,,,https://wasanbon.co.jp/,,,,34.121330,134.404860,,verificado,no comprobado,,
world-collection-natan-ikeda,有限会社 WORLD COLLECTION/Natan葡萄酒醸造所,Ikeda,Vino,,徳島県三好市池田町マチ2187-7,Produces wine at its Ikeda unit.,,+81883878688,,https://natan.jp/,,,,35.442250,136.572970,,verificado,sí,ecommerce,
fukujyu1826-naruto,福寿醤油,Naruto,Condimentos,福寿醤油,徳島県鳴門市大麻町池谷字大石８番地,Produces soy sauce and traditional seasonings at its Naruto brewery.,,+81886891008,,http://www.fukujyu1826.com/,,,,34.172580,134.608780,,verificado,no comprobado,,
