slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
bordona-farm,Bordona Farm,Valera Fratta,Carne,carne bovina biologica,"Cascina Bordona, 26859 Valera Fratta LO",Bordona Farm is a current TRACES-certified organic operator in Valera Fratta producing carne bovina biologica.,,,,https://www.bordonafarm.it/,,,https://www.google.com/maps/search/?api=1&query=Bordona%20Farm%2C%20Cascina%20Bordona%2C%2026859%20Valera%20Fratta%20LO&query_place_id=ChIJK2KAZ6vVhkcRfIYT33C0gIc,45.2545807,9.3434542,,verificado,sí,ecommerce,
cascina-dede,Cascina Dedè,Borghetto Lodigiano,Lácteos y quesos,"Grana Padano DOP LO 210, Tipico Lodigiano Dedè, raspadura, burro di pura panna","Cascina Propio 2, 26812 Borghetto Lodigiano LO","Caseificio agricolo attivo dal 1945 che trasforma latte vaccino in Grana Padano, Tipico Lodigiano e burro nella propria cascina.","lun-vie 14:30-19:00; sáb 11:00-12:30 y 14:30-19:00",+39037180238,info@cascinadede.it,https://cascinadede.it/,,,https://www.google.com/maps/search/?api=1&query=Cascina%20Ded%C3%A8%2C%20Cascina%20Propio%202%2C%2026812%20Borghetto%20Lodigiano%20LO&query_place_id=ChIJoVfctS4ogUcRtXl31aq6o-M,45.210018931554,9.540933695176,,verificado,no comprobado,,
agrigelateria-guado,Agrigelateria Guado,Casaletto Lodigiano,Lácteos y quesos,"gelato artigianale, formaggi freschi, taglieri di formaggi di produzione propria","Cascina Guado 1/B, 26852 Casaletto Lodigiano LO","La Società Agricola Sudati trasforma il latte appena munto nel proprio caseificio e propone gelato e formaggi aziendali nell'agrigelateria di Cascina Guado.","mar-vie 15:00-19:00; sáb-dom 11:00-20:00",+393929177404,info@gelaterialodi.it,https://www.gelaterialodi.it/,,,https://www.google.com/maps/search/?api=1&query=Agrigelateria%20Guado%2C%20Cascina%20Guado%201%2FB%2C%2026852%20Casaletto%20Lodigiano%20LO&query_place_id=ChIJtUnsbnHUhkcR8CUZsE6WF8A,45.288693008613,9.342123777299,,verificado,no comprobado,,
caseificio-angelo-croce,Caseificio Angelo Croce,Casalpusterlengo,Lácteos y quesos,"Gorgonzola Panna Verde DOP, Gorgonzola Malghese DOP, Taleggio DOP, Stracchino di Casalpusterlengo","Via Cesare Battisti 70, 26841 Casalpusterlengo LO","Caseificio familiare di Casalpusterlengo che produce, porziona e spedisce formaggi lombardi freschi e stagionati.",,+39037784236,commerciale@caseificioangelocroce.it,https://shop.caseificioangelocroce.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Angelo%20Croce%2C%20Via%20Cesare%20Battisti%2070%2C%2026841%20Casalpusterlengo%20LO&query_place_id=ChIJi_oBhbbYgEcR3Tc0m--iUYc,45.177239009727,9.640502263624,,verificado,sí,ecommerce,
caseificio-carena,Caseificio Carena,Caselle Lurani,Lácteos y quesos,"Pannerone, mascarpone, Taleggio, crescenza, ricotta, primo sale","Via Pozzobonella 7, 26853 Caselle Lurani LO","Caseificio familiare fondato nel 1924 che mantiene la produzione artigianale dei formaggi tipici lodigiani e vende anche nello spaccio interno.","lun-jue 15:30-19:00; vie 09:00-12:30 y 15:30-19:00; sáb 09:00-12:30 y 15:30-18:00",+390371944228,caseificiocarena@caseificiocarena.it,https://www.caseificiocarena.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Carena%2C%20Via%20Pozzobonella%207%2C%2026853%20Caselle%20Lurani%20LO&query_place_id=ChIJjVhJwO7UhkcR58oyoAuCH0s,45.269340409557,9.365559159483,,verificado,no comprobado,,
itas-a-tosi-azienda-agraria,I.T.A.S. A. Tosi — Azienda Agraria,Codogno,Lácteos y quesos,"formaggi freschi e stagionati, Provolone, miele, cotognata","Viale Guglielmo Marconi 60, 26845 Codogno LO","Azienda didattica dell'istituto agrario con bovine da latte e laboratorio caseario; produce formaggi e altri alimenti aziendali.",,+39037732250,lota01000l@istruzione.it,https://www.agrariotosi.edu.it/luogo/azienda-agricola/,,,https://www.google.com/maps/search/?api=1&query=I.T.A.S.%20A.%20Tosi%20%E2%80%94%20Azienda%20Agraria%2C%20Viale%20Guglielmo%20Marconi%2060%2C%2026845%20Codogno%20LO&query_place_id=ChIJr-csg8bfgEcRMu-oLjVCxNo,45.161607679171,9.718944168279,,verificado,no comprobado,,Conservas|Miel
caseificio-mor-stabilini,Caseificio Mor Stabilini,Crespiatica,Lácteos y quesos,"Grana Padano DOP LO 214, Tipico Lodigiano, raspadura, Promessi Sposi","Via Roma 33, 26835 Crespiatica LO","Caseificio consorziato Grana Padano con produzione a Crespiatica e spaccio aziendale lungo la SP 235.",,+390371484473,mor-stabilini@libero.it,https://www.granapadano.it/it-it/il-consorzio-di-tutela/i-protagonisti-i-consorziati/caseificio-mor-stabilini-snc/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Mor%20Stabilini%2C%20Via%20Roma%2033%2C%2026835%20Crespiatica%20LO&query_place_id=ChIJcTI6xtsvgUcRs3csuG_lvdA,45.356121312527,9.57452319077,,parcial,no comprobado,,
centrale-latte-italia-lodi,Centrale del Latte d'Italia — Stabilimento di Lodi,Lodi,Lácteos y quesos,mascarpone,"Via SS Emilia 154, 26900 Lodi LO","Stabilimento lattiero-caseario del gruppo Centrale del Latte d'Italia che produce mascarpone a Lodi.",,,,https://centralelatteitalia.com/gruppo/,,,,45.324697303323,9.451645746886,,parcial,no comprobado,,
caseificio-zucchelli,Caseificio Zucchelli,Orio Litta,Lácteos y quesos,"Grana Padano DOP LO 205, Lodigiano Zucchelli, Raspadura di Lodi","Cascina Marmorina 18, 26863 Orio Litta LO","Caseificio familiare della Bassa Lodigiana che trasforma latte della filiera locale in Grana Padano e formaggi lodigiani.",,+390377804232,info@caseificiozucchelli.com,https://www.caseificiozucchelli.com/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Zucchelli%2C%20Cascina%20Marmorina%2018%2C%2026863%20Orio%20Litta%20LO&query_place_id=ChIJM56CCinYgEcRySaR_enHECo,45.168872136594,9.555630649302,,verificado,sí,ecommerce,
industria-casearia-raimondi,Industria Casearia Raimondi,Ospedaletto Lodigiano,Lácteos y quesos,"Grana Padano DOP, Lodigiano di Raimondi, Raspadüra, Mascarpotta, Burro Lodigiano","Cascina Mandella 1, 26864 Ospedaletto Lodigiano LO","Caseificio a filiera interna che alleva il bestiame, lavora il latte e stagiona i propri formaggi nella campagna lodigiana.",,+39037786118,info@caseariaraimondi.it,https://caseariaraimondi.it/,,,https://www.google.com/maps/search/?api=1&query=Industria%20Casearia%20Raimondi%2C%20Cascina%20Mandella%201%2C%2026864%20Ospedaletto%20Lodigiano%20LO&query_place_id=ChIJ3YQdSXkpgUcRQGMokRRH9EU,45.168650786005,9.594310181958,,verificado,no comprobado,,
cascina-bordonazza,Cascina Bordonazza,Ossago Lodigiano,Lácteos y quesos,"formaggio di malga, ricotta vaccina, burro crudo, yogurt Bulgreco, kefir","Cascina Bordonazza, SP 190 6, 26816 Ossago Lodigiano LO","Fattoria familiare che trasforma il latte delle proprie vacche in formaggi, ricotta, burro e fermentati, anche durante l'alpeggio estivo al Tonale.",,+393492958763,az.bordonazza@gmail.com,https://spesamilanoportaromana.campagnamica.it/produttore/bor/,https://www.facebook.com/labordonazza,https://www.instagram.com/cascina_bordonazza/,https://www.google.com/maps/search/?api=1&query=Cascina%20Bordonazza%2C%20Cascina%20Bordonazza%2C%20SP%20190%206%2C%2026816%20Ossago%20Lodigiano%20LO&query_place_id=ChIJd7k-6q0pgUcRJk_nde2Ie7s,45.23221753981,9.522370590991,,parcial,sí,marketplace,
stella-bianca,Stella Bianca,Ossago Lodigiano,Lácteos y quesos,"crescenza, stracchino, formaggio fresco spalmabile, tomini biologici","Via Santa Rosa 5, 26816 Ossago Lodigiano LO","Caseificio specializzato dal 1978 in formaggi freschi di latte italiano, con stabilimento produttivo a Ossago Lodigiano.",,+39037187781,info@stellabianca.it,https://www.stellabianca.it/,,,https://www.google.com/maps/search/?api=1&query=Stella%20Bianca%2C%20Via%20Santa%20Rosa%205%2C%2026816%20Ossago%20Lodigiano%20LO&query_place_id=ChIJK8paPvsogUcRmeGW6VGgP3w,45.248011315823,9.538831119211,,verificado,no comprobado,,
cascina-biraga,Cascina Biraga,Terranova dei Passerini,Lácteos y quesos,"gelato di latte, formaggi, budini e dessert","Cascina Biraga 2, 26827 Terranova dei Passerini LO","Azienda familiare di cinque generazioni che trasforma latte a Cascina Biraga in gelato, formaggi e dessert.",,+39037785356,,https://www.cascinabiraga.com/,,,https://www.google.com/maps/search/?api=1&query=Cascina%20Biraga%2C%20Cascina%20Biraga%202%2C%2026827%20Terranova%20dei%20Passerini%20LO&query_place_id=ChIJU49pRsgggUcRxEGUNEa46EQ,45.210844198712,9.667087154031,,parcial,no comprobado,,
cascina-pezzolo,Cascina Pezzolo,Pieve Fissiraga,Carne,carne biologica di Black Angus,"Via Pezzolo 2B, 26854 Pieve Fissiraga LO","Agriturismo e azienda biologica che alleva Black Angus al pascolo e prepara box di tagli propri con vendita e spedizione diretta.",,+390371239959,info@agriturismopezzolo.it,https://www.agriturismopezzolo.it/,,,,45.2809356,9.4519866,,verificado,sí,email|telefono,
al-chiar-di-luma,Al Chiar di Luma,Graffignana,Huevos,"uova da galline allevate all'aperto, pasta fresca all'uovo, ortaggi biologici","Via Carlo Alberto Dalla Chiesa 35, 26813 Graffignana LO","Azienda agricola di Claudia Cremonesi con galline all'aperto, orto biologico e laboratorio di pasta fresca; vende ai mercati e accetta ordini con consegna a domicilio.",,+393388210839,info@alchiardiluma.it,https://alchiardiluma.it/,,,https://www.google.com/maps/search/?api=1&query=Al%20Chiar%20di%20Luma%2C%20Via%20Carlo%20Alberto%20Dalla%20Chiesa%2035%2C%2026813%20Graffignana%20LO&query_place_id=ChIJlVhoYfIngUcRf-sm-M7yUO4,45.2114913,9.4463770,,verificado,sí,ecommerce|whatsapp|email,Pan y cereal|Fruta y verdura
molino-delle-bufale,Molino delle Bufale — Azienda Agricola De Vecchi,Zelo Buon Persico,Lácteos y quesos,"mozzarella e burrata di bufala, scamorza, caciocavallo, Camembert, erborinato e Gorgonzola","Cascina Molinetto, Via Giussana 10, 26839 Zelo Buon Persico LO","Azienda di Achille De Vecchi che alleva bufale e trasforma il latte nella linea Molino delle Bufale, venduta nello spaccio mattutino e nei mercati locali.","lun-sáb por la mañana",+393454180403,devecchiachille@gmail.com,http://www.molinodellebufale.it/,,,https://www.google.com/maps/search/?api=1&query=Molino%20delle%20Bufale%20%E2%80%94%20Azienda%20Agricola%20De%20Vecchi%2C%20Cascina%20Molinetto%2C%20Via%20Giussana%2010%2C%2026839%20Zelo%20Buon%20Persico%20LO&query_place_id=ChIJL69OrmnNhkcRRHBL077HUbQ,45.4077765,9.4184743,,verificado,no comprobado,,
la-fontana-di-comazzo,La Fontana di Comazzo,Comazzo,Lácteos y quesos,"formaggi freschi e stagionati biologici, latte A2A2, yogurt, burro","Cascina Molino Torchio, 26833 Comazzo LO","Azienda familiare biologica con 400 bovine e caseificio interno che trasforma esclusivamente il proprio latte A2A2 in formaggi e latticini.",,+39029061006,info@lafontanadicomazzo.it,https://lafontanadicomazzo.it/,,,https://www.google.com/maps/search/?api=1&query=La%20Fontana%20di%20Comazzo%2C%20Cascina%20Molino%20Torchio%2C%2026833%20Comazzo%20LO&query_place_id=ChIJJbFK4rDMhkcRiQXVxX2XKvQ,45.42674378,9.45697149,,verificado,no comprobado,,
podere-monticelli,Podere Monticelli,Villanova del Sillaro,Legumbres y cereales,"cereali antichi, legumi, farine, pasta, biscotti, cracker, birra La Poderina","Cascina Monticelli, 26818 Villanova del Sillaro LO","Podere biologico che coltiva cereali antichi e legumi e li trasforma in farine, pasta, prodotti da forno e birra agricola.",,,info-it@poderemonticelli.it,https://www.poderemonticelli.it/,,,https://www.google.com/maps/search/?api=1&query=Podere%20Monticelli%2C%20Cascina%20Monticelli%2C%2026818%20Villanova%20del%20Sillaro%20LO&query_place_id=ChIJ0_6eRwIrgUcR-7OUvrUoMRU,45.2435078,9.4602579,,verificado,no comprobado,,Pan y cereal|Dulces y repostería|Cerveza
elisir-apicoltura-biologica,Elisir Apicoltura Biologica,Lodi,Miel,"miele biologico di acacia, castagno, tiglio e melata, polline, pappa reale, propoli","Via del Pulignano 6, 26900 Lodi LO","Apicoltura biologica di Elettra Russi con apiari stanziali e nomadi, laboratorio e shop fisico e online a Lodi.","jue 15:00-18:00; sáb 09:00-12:00",+393395456157,info@elisirapi.com,https://elisirapi.com/,,,https://www.google.com/maps/search/?api=1&query=Elisir%20Apicoltura%20Biologica%2C%20Via%20del%20Pulignano%206%2C%2026900%20Lodi%20LO&query_place_id=ChIJRyedbtktgUcRDQnotjWnTQI,45.3199880,9.4835975,,verificado,sí,ecommerce,
le-cascine-riboni,Le Cascine Riboni,Terranova dei Passerini,Carne,"carne bovina Limousine, confetture, ortaggi, uova, zafferano","Via Cascine dei Passerini 25, 26827 Terranova dei Passerini LO","Azienda agricola biologica a ciclo misto che alleva bovini, suini e animali da cortile e trasforma esclusivamente frutta e ortaggi propri.",,+393358074306,info@lecascineriboni.it,https://lecascineriboni.it/,,,https://www.google.com/maps/search/?api=1&query=Le%20Cascine%20Riboni%2C%20Via%20Cascine%20dei%20Passerini%2025%2C%2026827%20Terranova%20dei%20Passerini%20LO&query_place_id=ChIJXeiNcQ4hgUcRJNWnKHPiLNA,45.1916276,9.6780608,,verificado,no comprobado,,Conservas|Fruta y verdura|Huevos|Condimentos
brewfist,Brewfist,Codogno,Cerveza,"Spaceman IPA, La Bassa, Spaghetti Western, Terminal Pale Ale","Via Angelo Molinari 5, 26845 Codogno LO","Birrificio artigianale fondato nel 2010 a Codogno, produttore delle birre Brewfist e dotato di shop online proprio.","lun-vie 09:00-13:00 y 14:00-17:00",+390377379814,info@brewfist.com,https://www.brewfist.com/,,,https://www.google.com/maps/search/?api=1&query=Brewfist%2C%20Via%20Angelo%20Molinari%205%2C%2026845%20Codogno%20LO&query_place_id=ChIJdWktqwTfgEcRX09Puziy3zk,45.1575847,9.6772370,,verificado,sí,ecommerce,
cascina-grazzanello,Cascina Grazzanello,Mairago,Legumbres y cereales,"mais, grano, orzo, soia, noci, confetture","Cascina Grazzanello, SS9 Emilia, 26825 Mairago LO","Azienda agricola ed ecomuseo di circa 60 ettari con produzioni cerealicole, leguminose, noci e confetture aziendali.",,+390371487261,grazzanello@tiscali.it,https://www.grazzanello.it/,,,https://www.google.com/maps/search/?api=1&query=Cascina%20Grazzanello%2C%20Cascina%20Grazzanello%2C%20SS9%20Emilia%2C%2026825%20Mairago%20LO&query_place_id=ChIJlQL-A74ogUcRSnLH9rkucXI,45.2509,9.5623,,parcial,no comprobado,,Frutos secos|Conservas
