slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
panificio-fratelli-mastrella,Panificio fratelli Mastrella,Agliana,Pan y cereal,,,,,,,,,,,43.901677,10.990552,,pendiente,no comprobado,,
la-cantina-pinta,La Cantina Pinta,Lamporecchio,Vino,,,,,,,,,,,43.816139,10.896719,,pendiente,no comprobado,,
panificio-nencioni,Panificio Nencioni,Lamporecchio,Pan y cereal,,,,,,,,,,,43.814780,10.895303,,pendiente,no comprobado,,
panificio-fratelli-monti,Panificio Fratelli Monti,Massa e Cozzile,Pan y cereal,,,,,,,,,,,43.869268,10.752591,,pendiente,no comprobado,,
panificio-il-panpepato,Panificio Il Panpepato,Pescia,Pan y cereal,,,,,,,,,,,43.902734,10.688339,,pendiente,no comprobado,,
panificio-michelotti,Panificio Michelotti,Pescia,Pan y cereal,,,,,,,,,,,43.876582,10.689210,,pendiente,no comprobado,,
panificio-pellegrini,Panificio Pellegrini,Pescia,Pan y cereal,,,,,,,,,,,43.882761,10.686269,,pendiente,no comprobado,,
panificio-selvaggi,Panificio Selvaggi,Pescia,Pan y cereal,,,,,,,,,,,43.898670,10.654925,,pendiente,no comprobado,,
dolce-forno,Dolce Forno,Pistoia,Pan y cereal,,,,,,,,,,,43.911589,10.917476,,pendiente,no comprobado,,
forno-della-paura,Forno della Paura,Pistoia,Pan y cereal,,,,,,,,,,,43.929617,10.905890,,pendiente,no comprobado,,
panificio-giuntini,Panificio Giuntini,Quarrata,Pan y cereal,,,,,,,,,,,43.846267,10.980332,,pendiente,no comprobado,,
agrisan,Agrisan,Larciano,Pan y cereal,Lisosan di grano e cereali,"Via G. Matteotti, 1950/B, 51036 Larciano PT",Agrisan is a current TRACES-certified organic operator in Larciano producing Lisosan di grano e cereali.,,,,https://www.agrisan.com/,,,https://www.google.com/maps/search/?api=1&query=43.8309846%2C10.857071399999999,43.8309846,10.857071399999999,,verificado,sí,ecommerce,
azienda-agricola-la-buca,Azienda Agricola La Buca,Abetone Cutigliano,Lácteos y quesos,"Pecorino a latte crudo della Montagna Pistoiese, ricotta, ravaggiolo, caprino","Località La Buca 1, 51024 Abetone Cutigliano PT","Azienda montana con greggi ovini e caprini che trasforma il proprio latte crudo in pecorino Presidio Slow Food e formaggi freschi.",,+39057368185,info@agriturismolabuca.com,http://www.agriturismolabuca.com/,,,https://www.google.com/maps/search/?api=1&query=44.095892195634%2C10.760140880365,44.095892195634,10.760140880365,,parcial,no comprobado,,
i-taufi,I Taufi,Abetone Cutigliano,Lácteos y quesos,"caciotta biologica, cenerito, mozzarella, ravaggiolo, ricotta, yogurt, burro","Località Taufi 70, Melo, 51024 Abetone Cutigliano PT","Bioagriturismo e caseificio che alleva vacche all'aperto e trasforma interamente il proprio latte in formaggi e latticini biologici.",,+393473581165,info@itaufi.it,https://www.itaufi.it/prodotti.html,,,https://www.google.com/maps/search/?api=1&query=44.1004814%2C10.7564074,44.1004814,10.7564074,,verificado,no comprobado,,Conservas
le-roncacce,Le Roncacce,Abetone Cutigliano,Lácteos y quesos,"formaggi vaccini, mozzarella, ricotta, yogurt, latte fresco","Via Le Roncacce 67, Melo, 51024 Abetone Cutigliano PT","Azienda agricola montana che produce formaggi esclusivamente con il latte delle bovine nate e allevate in fattoria.",,+393286694664,giuseppe.corsini@pec.agritel.it,http://www.leroncacce.it/,,,https://www.google.com/maps/search/?api=1&query=44.124203275284%2C10.70609959543,44.124203275284,10.70609959543,,parcial,no comprobado,,Carne|Fruta y verdura|Pan y cereal
