slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
fattoria-san-vito,Fattoria San Vito,Calci,Otros,,,,,,,,,,,43.721336,10.515314,,pendiente,no comprobado,,
panificio-valgraziosa,Panificio Valgraziosa,Calci,Pan y cereal,,,,,,,,,,,43.717481,10.511646,,pendiente,no comprobado,,
panificio-gianfaldoni,Panificio Gianfaldoni,Casale Marittimo,Pan y cereal,,,,,,,,,,,43.296822,10.615259,,pendiente,no comprobado,,
azienda-agricola-cremoni,Azienda Agricola Cremoni,Casciana Terme Lari,Fruta y verdura,,,,,,,,,,,43.565233,10.594462,,pendiente,no comprobado,,
panificio-panetteria-betti,Panificio Panetteria Betti,Cascina,Pan y cereal,,,,,,,,,,,43.689686,10.487375,,pendiente,no comprobado,,
panificio-siciliano-e-toscano,Panificio Siciliano e Toscano,Cascina,Pan y cereal,,,,,,,,,,,43.687859,10.480843,,pendiente,no comprobado,,
panificio-galeotti-marcella,Panificio Galeotti Marcella,Castelfranco di Sotto,Pan y cereal,,,,,,,,,,,43.781720,10.663784,,pendiente,no comprobado,,
panificio-pierini-franco-c,Panificio Pierini Franco & C,Castelnuovo di Val di Cecina,Pan y cereal,,,,,,,,,,,43.208730,10.905918,,pendiente,no comprobado,,
sergio-panificio,Sergio Panificio,Montecatini Val di Cecina,Pan y cereal,,,,,,,,,,,43.335303,10.742618,,pendiente,no comprobado,,
panificio-cecchiti,Panificio Cecchiti,Pisa,Pan y cereal,,,,,,,,,,,43.714379,10.402458,,pendiente,no comprobado,,
panificio-fratelli-borelli,Panificio Fratelli Borelli,Pisa,Pan y cereal,,,,,,,,,,,43.715533,10.412133,,pendiente,no comprobado,,
panificio-gastronomia,Panificio Gastronomia,Pisa,Pan y cereal,,,,,,,,,,,43.706552,10.426960,,pendiente,no comprobado,,
panificio-pasticceria-traversari,Panificio Pasticceria Traversari,Pisa,Pan y cereal,,,,,,,,,,,43.710422,10.421756,,pendiente,no comprobado,,
panificio-romagnoli,Panificio Romagnoli,Pisa,Pan y cereal,,,,,,,,,,,43.700540,10.400117,,pendiente,no comprobado,,
forno-di-montegemoli,Forno di Montegemoli,Pomarance,Pan y cereal,,,,,,,,,,,43.347358,10.783703,,pendiente,no comprobado,,
il-forno-e-i-suoi-sapori,Il Forno e i suoi sapori,Pontedera,Pan y cereal,,,,,,,,,,,43.662406,10.637198,,pendiente,no comprobado,,
panificio-bar-pasticceria-siciliano,Panificio Bar Pasticceria Siciliano,Pontedera,Pan y cereal,,,,,,,,,,,43.667531,10.645711,,pendiente,no comprobado,,
