slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales
birrificio-barbaforte,Birrificio Barbaforte,Folgaria,Cerveza,birra artigianale,"Via XXV Aprile, 51, 38064 Folgaria TN",Birrificio Barbaforte is an independent brewery in Folgaria producing its own craft beer.,,,info@barbaforte.it,https://www.barbaforte.it,,,https://www.google.com/maps/search/?api=1&query=45.9175306%2C11.1584929&query_place_id=ChIJXcmBIAULgkcRwxFfEslX-wQ,45.9175306,11.1584929,/productores/it/trentino-alto-adige/trento/birrificio-barbaforte.webp,verificado,no comprobado,,
birrificio-artigianale-leder,Birrificio Artigianale Leder,Ledro,Cerveza,birra artigianale,"Via Nuova, 11, 38067 Ledro TN",Birrificio Artigianale Leder is an independent brewery in Ledro producing its own craft beer.,,,,https://www.birrificioleder.it/,,,https://www.google.com/maps/search/?api=1&query=45.8903231%2C10.7270243&query_place_id=ChIJ49wP92M9gkcRlCINr4F6itQ,45.8903231,10.7270243,,verificado,no comprobado,,
birrificio-val-rendena,Birrificio Val Rendena,Pinzolo,Cerveza,birra artigianale,"Via Ronch, 6, 38086 Pinzolo TN",Birrificio Val Rendena is an independent brewery in Pinzolo producing its own craft beer.,,,info@valrendena.beer,https://www.valrendena.beer,,,https://www.google.com/maps/search/?api=1&query=46.1699197%2C10.7669305&query_place_id=ChIJWywSBFdbgkcRAdoz4yph2i0,46.1699197,10.7669305,/productores/it/trentino-alto-adige/trento/birrificio-val-rendena.webp,verificado,no comprobado,,
birra-del-bosco,Birra Del Bosco,San Michele all'Adige,Cerveza,birra artigianale,"Via G. Postal, 45, 38098 San Michele all'Adige TN",Birra Del Bosco is an independent brewery in San Michele all'Adige producing its own craft beer.,,,birradelbosco.web@gmail.com,https://www.birradelbosco.it/,,,https://www.google.com/maps/search/?api=1&query=46.1980549%2C11.123381&query_place_id=ChIJRw4ZVnh7gkcRq1SVmk7tgp0,46.1980549,11.123381,/productores/it/trentino-alto-adige/trento/birra-del-bosco.webp,verificado,no comprobado,,
cantina-simoni,Cantina Simoni,Giovo,Vino,"Müller Thurgau, Schiava","Piazza Alpini 14, Palù di Giovo","Cantina Simoni operates a productive unit in Giovo, making Müller Thurgau, Schiava.",,+390461684381,info@cantinasimoni.it,https://www.cantinasimoni.it/,,,,46.1581009,11.140373,,verificado,no comprobado,,
cembra-cantina-di-montagna,Cembra Cantina di Montagna,Cembra Lisignago,Vino,"Trentodoc, Müller Thurgau",Viale IV Novembre 72,"Cembra Cantina di Montagna operates a productive unit in Cembra Lisignago, making Trentodoc, Müller Thurgau.",,+390461680010,info@cembracantinadimontagna.com,https://www.cembracantinadimontagna.it/,,,https://www.google.com/maps/search/?api=1&query=46.17572089999999%2C11.2234755&query_place_id=ChIJhdWVyOB4gkcRpVBzkA5OIYk,46.17572089999999,11.2234755,/productores/it/trentino-alto-adige/trento/cembra-cantina-di-montagna.webp,verificado,no comprobado,,
cantina-aldeno,Cantina Aldeno,Aldeno,Vino,"Trentino DOC, Lagrein",Via Roma 76,"Cantina Aldeno operates a productive unit in Aldeno, making Trentino DOC, Lagrein.",,+390461842511,info@cantinaaldeno.com,https://www.cantinaaldeno.com/,,,,45.9833292,11.0934988,/productores/it/trentino-alto-adige/trento/cantina-aldeno.webp,verificado,no comprobado,,
distilleria-francesco,Distilleria Francesco,Vallelaghi,Destilados y licores,"grappa, Vino Santo","Via del Lago 13, Santa Massenza","Distilleria Francesco operates a productive unit in Vallelaghi, making grappa, Vino Santo.",,,,https://www.distilleriafrancesco.it/,,,,46.0695129,10.9840786,/productores/it/trentino-alto-adige/trento/distilleria-francesco.webp,verificado,no comprobado,,Vino
distilleria-f-lli-pisoni,Distilleria F.lli Pisoni,Madruzzo,Destilados y licores,"grappa, Trentodoc, vini trentini","Via San Siro 7/A, Pergolese","Distilleria F.lli Pisoni operates a productive unit in Madruzzo, making grappa, Trentodoc, vini trentini.",,+390461564106,info@pisoni.it,https://www.pisoni.it/,,,,46.0274014,10.9609816,/productores/it/trentino-alto-adige/trento/distilleria-f-lli-pisoni.webp,verificado,sí,ecommerce,Vino
pravis,Pravis,Madruzzo,Vino,vini trentini,"Località Le Biolche 1, Lasino","Pravis operates a productive unit in Madruzzo, making vini trentini.",,+390461564305,info@pravis.it,https://www.pravis.it/,,,https://www.google.com/maps/search/?api=1&query=46.0306626%2C10.9875544&query_place_id=ChIJ7Qj6R7xXgkcRHHnqk2ozthw,46.0306626,10.9875544,/productores/it/trentino-alto-adige/trento/pravis.webp,verificado,sí,ecommerce,
